,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
29,TAC3,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,0,,0,TAC3,Tumorsupressor,Proliferation of cells,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
30,SERPINB9,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,SERPINB9,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,6,4,2,0,0,,,,,0,
31,RUNX2,1,ESR1,72,72,89,0,tumorsupressor,0,0,0,,0,RUNX2,Tumorsupressor,"Transcriptional misregulation, Apoptosis, Proliferation of cells",None Found,Unknown,6,2,1,2,1,,,,,1,
32,RET,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,RET,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,8,7,1,0,0,,,,,0,
33,RARA,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,RARA,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,1,3,0,1,,,,,0,
34,PTMA,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,PTMA,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,2,0,0,0,2,,,,,0,
35,PMAIP1,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,0,,0,PMAIP1,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",4.374616319,None Found,1,0,0,0,1,,,,,0,
36,OXT,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,OXT,Oncogene,"Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
37,NRF1,1,ESR1,72,72,89,0,tumorsupressor,0,0,0,,0,NRF1,Tumorsupressor,Cell Signaling,None Found,None Found,4,2,1,0,1,,,,,0,
38,NR5A2,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,NR5A2,Oncogene,Proliferation of cells,None Found,None Found,10,4,2,0,4,,,,,0,
39,MMP13,1,ESR1,72,72,89,0,cigene,0,0,0,,0,MMP13,Cigene,Cell Signaling,10.23270762,None Found,5,3,2,0,0,,,,,0,
40,MDM2,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,MDM2,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,0,
41,KDR,1,ESR1,72,72,89,0,cigene,0,0,0,,0,KDR,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,9,7,2,0,0,,,,,0,
42,HTRA2,1,ESR1,72,72,89,0,tumorsupressor,0,0,0,,0,HTRA2,Tumorsupressor,Apoptosis,None Found,None Found,2,0,1,0,1,,,,,0,
43,HSPB1,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,HSPB1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,0,1,0,2,,,,,0,
44,FOXP1,1,ESR1,72,72,89,0,"oncogene, tumorsupressor",0,0,0,,0,FOXP1,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,8,3,1,2,2,,,,,0,
45,F12,1,ESR1,72,72,89,0,both,0,0,0,,0,F12,"Tumorsupressor, Oncogene","Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
46,ESRRA,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,0,,0,ESRRA,Tumorsupressor,Proliferation of cells,None Found,None Found,1,0,1,0,0,,,,,0,
47,DCT,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,0,,0,DCT,Tumorsupressor,Drug metabolism,-11.07460299,None Found,4,4,0,0,0,,,,,0,
48,CYP2C19,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,0,,0,CYP2C19,Tumorsupressor,Drug metabolism,None Found,None Found,8,5,3,0,0,,,,,0,
49,CYP1B1,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,0,,0,CYP1B1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,1,0,1,,,,,0,
50,CYP1A1,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,CYP1A1,Oncogene,Proliferation of cells,None Found,None Found,4,1,1,0,2,,,,,0,
51,CXCL12,1,ESR1,72,72,89,0,tumorsupressor,0,0,0,,0,CXCL12,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
52,CRHBP,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,CRHBP,Oncogene,None Found,-4.534659588,None Found,2,1,0,1,0,,,,,0,
53,CRH,1,ESR1,72,72,89,0,both,0,0,0,,0,CRH,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,0,
54,CHAT,1,ESR1,72,72,89,0,both,0,0,0,,0,CHAT,"Tumorsupressor, Oncogene",Drug metabolism,None Found,None Found,3,2,1,0,0,,,,,0,
55,CDKN1B,1,ESR1,72,72,89,0,"oncogene, tumorsupressor",0,0,0,,0,CDKN1B,"Tumorsupressor, Oncogene","Cell Division, Cell Cycle",None Found,None Found,6,0,0,5,1,,,,,0,
56,CDK4,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,CDK4,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
57,CD24,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,CD24,Oncogene,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
58,BTG2,1,ESR1,72,72,89,0,tumorsupressor,0,0,0,,0,BTG2,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
59,BLM,1,ESR1,72,72,89,0,tumorsupressor,0,0,0,,0,BLM,Tumorsupressor,"Apoptosis, Proliferation of cells",2.524347298,None Found,15,10,3,1,1,,,,,0,
60,AVP,1,ESR1,72,72,89,0,oncogene,0,0,0,,0,AVP,Oncogene,Cell Signaling,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
61,AMH,1,ESR1,72,72,89,0,tumorsupressor,0,0,0,,0,AMH,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
62,YBX1,1,ERBB2,79,79,31,0,oncogene,0,0,0,,0,YBX1,Oncogene,"Apoptosis, Proliferation of cells",None Found,Activation,3,2,1,0,0,,,,,1,
63,XRCC6,1,ERBB2,79,79,31,0,tumorsupressor gene,0,0,0,,0,XRCC6,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Unknown,5,3,2,0,0,,,,,1,
64,XRCC5,1,ERBB2,79,79,31,0,tumorsupressor,0,0,0,,0,XRCC5,Tumorsupressor,None Found,None Found,Unknown,1,1,0,0,0,,,,,1,
65,WWP1,1,ERBB2,79,79,31,0,oncogene,0,0,0,,0,WWP1,Oncogene,None Found,None Found,Activation,10,7,1,2,0,,,,,1,
66,VDR,1,ERBB2,79,79,31,0,tumorsupressor,0,0,0,,0,VDR,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Unknown,3,1,1,0,1,,,,,1,
67,TFAP2B,1,ERBB2,79,79,31,0,oncogene,0,0,0,,0,TFAP2B,Oncogene,"Apoptosis, Proliferation of cells",None Found,Unknown,6,3,2,0,1,,,,,1,
68,TFAP2A,3,"MMP9,KRT5,ERBB2",214,"81,54,79","32,5,31",0,tumorsupressor,0,0,0,,0,TFAP2A,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Unknown,13,8,2,0,3,,,,,3,
69,SP4,2,"BIRC5,ERBB2",153,"74,79","26,31",0,TF,0,0,1,0.6216216216216216,1,SP4,TF,Transcription regulation,None Found,Activation,8,5,3,0,0,,,,,2,
70,SP3,4,"BIRC5,ERBB2,PLAT,ID4",205,"74,79,52","26,31,9,6",0,TF,0,0,1,0.6216216216216216,1,SP3,TF,Transcription regulation,None Found,Activation,8,4,0,1,3,,,,,2,
71,PURA,1,ERBB2,79,79,31,0,TF,0,0,0,,0,PURA,TF,Transcription regulation,None Found,Unknown,2,0,0,0,2,,,,,1,
72,PAX2,1,ERBB2,79,79,31,0,oncogene,0,0,0,,0,PAX2,Oncogene,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,2,1,0,0,1,,,,,1,
73,GATA4,1,ERBB2,79,79,31,0,tumorsupressor,0,0,0,,0,GATA4,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,1,1,0,0,0,,,,,1,
74,GABPA,1,ERBB2,79,79,31,0,TF,0,0,0,,0,GABPA,TF,Transcription regulation,None Found,Unknown,2,0,0,0,2,,,,,1,
