,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
132,KLK3,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,KLK3,None Found,"Apoptosis, Proliferation of cells",-6.768591929,None Found,5,2,1,0,2,,,,,0,
133,IMPDH2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,IMPDH2,None Found,Proliferation of cells,None Found,None Found,3,1,2,0,0,,,,,0,
134,IL3,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,IL3,None Found,"Apoptosis, Cell Signaling",None Found,None Found,1,1,0,0,0,,,,,0,
135,IL2RB,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,IL2RB,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,2,0,2,0,,,,,0,
136,IL2,1,EGR1,66,66,106,0,proto-oncogene,0,0,1,0.13636363636363635,1,IL2,Proto-oncogene,Cell Signaling,None Found,None Found,2,1,0,0,1,,,,,0,
137,IFNG,1,EGR1,66,66,106,0,oncogene,0,0,1,0.13636363636363635,1,IFNG,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,2,1,0,0,,,,,0,
138,HYAL1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,HYAL1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
139,HSD11B2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,HSD11B2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
140,HPSE,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,HPSE,None Found,"Apoptosis, Proliferation of cells",3.167506204,None Found,4,3,0,1,0,,,,,0,
141,HIF1A,3,"MUC1,SERPINE1,EGR1",196,"59,71,66","10,24,106",0,"oncogene, tumorsupressor, cigene",0,0,1,0.13636363636363635,1,HIF1A,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,8,4,2,1,1,,,,,2,
142,GGPS1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,GGPS1,None Found,Drug metabolism,None Found,None Found,5,2,1,0,2,,,,,0,
143,GDF15,1,EGR1,66,66,106,0,cigene,0,0,1,0.13636363636363635,1,GDF15,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,0,
144,FLT1,2,"ESR1,EGR1",138,"72,66","89,106",0,,0,0,1,0.13636363636363635,1,FLT1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,6,5,1,0,0,,,,,0,
145,FGF2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,FGF2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",0.1446659799,None Found,3,1,0,1,1,,,,,0,
146,FCER2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,FCER2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,1,1,0,2,,,,,0,
147,FASLG,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,FASLG,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,0,0,1,,,,,0,
148,FAP,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,FAP,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",3.369356365,None Found,9,6,0,1,2,,,,,0,
149,F3,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,F3,None Found,"Apoptosis, Proliferation of cells",-2.533068788,None Found,2,0,1,0,1,,,,,0,
150,EAPP,1,EGR1,66,66,106,0,TF,0,0,1,0.13636363636363635,1,EAPP,TF,None Found,None Found,None Found,4,2,1,1,0,,,,,0,
151,DMRT1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,DMRT1,None Found,"Transcription regulation, Apoptosis",None Found,None Found,1,0,0,1,0,,,,,0,
152,CYP2B6,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,CYP2B6,None Found,Proliferation of cells,None Found,None Found,4,3,0,1,0,,,,,0,
153,CHGA,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,CHGA,None Found,"Cell Signaling, Proliferation of cells",8.658506625,None Found,3,0,3,0,0,,,,,0,
154,CDKN1A,2,"ESR1,EGR1",138,"72,66","89,106",0,"oncogene, tumorsupressor",0,0,1,0.13636363636363635,1,CDKN1A,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,0,
155,CD28,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,CD28,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,0,
156,CCND2,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,CCND2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,6,1,1,0,4,,,,,0,
157,CACNA1H,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,CACNA1H,None Found,Cell Signaling,None Found,None Found,10,4,4,2,0,,,,,0,
158,ATF3,1,EGR1,66,66,106,0,"oncogene, cigene",0,0,1,0.13636363636363635,1,ATF3,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,0,
159,ALOX5,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,ALOX5,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,0,
160,AKR1B1,1,EGR1,66,66,106,0,tumorsupressor,0,0,1,0.13636363636363635,1,AKR1B1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,0,
161,ACHE,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,ACHE,None Found,"Apoptosis, Proliferation of cells",-2.947842682,None Found,3,2,0,0,1,,,,,0,
162,ACE,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,ACE,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,10,7,1,1,1,,,,,0,
163,ABCB1,1,EGR1,66,66,106,0,cigene,0,0,1,0.13636363636363635,1,ABCB1,Cigene,"Apoptosis, Proliferation of cells",-3.564622798,None Found,15,7,8,0,0,,,,,0,
164,ZBTB7A,1,FOS,74,74,86,0,oncogene,0,0,1,0.0945945945945946,1,ZBTB7A,Oncogene,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Repression,3,0,3,0,0,,,,,1,
165,TWIST2,1,FOS,74,74,86,0,tumorsupressor,0,0,1,0.0945945945945946,1,TWIST2,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Activation,1,0,1,0,0,,,,,1,
166,TWIST1,2,"ESR1,FOS",146,"72,74","89,86",0,"oncogene, cigene",0,0,1,0.0945945945945946,1,TWIST1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,Activation,2,1,0,1,0,,,,,2,
167,TBP,1,FOS,74,74,86,0,TF,0,0,1,0.0945945945945946,1,TBP,TF,None Found,None Found,Activation,3,3,0,0,0,,,,,1,
168,SRF,2,"SERPINE1,FOS",145,"71,74","24,86",0,TF,0,0,1,0.0945945945945946,1,SRF,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,5,1,1,0,3,,,,,2,
169,SMARCA4,1,FOS,74,74,86,0,tumorsupressor,0,0,1,0.0945945945945946,1,SMARCA4,Tumorsupressor,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Repression,15,8,3,2,2,,,,,1,
170,RBMX,4,"EGR1,FOS,JUNB,JUND",143,"66,74,1,2","106,86,9,5",0,tumorsupressor,0,0,2,0.11547911547911548,2,RBMX,Tumorsupressor,None Found,None Found,Repression,8,3,2,0,3,,,,,2,
171,RB1,2,"BIRC5,FOS",148,"74,74","26,86",0,tumorsupressor,0,0,2,0.3581081081081081,2,RB1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Repression,20,5,3,12,0,,,,,2,
172,NF1,2,"FOS,PLAT",74,74,"86,9",0,tumorsupressor,0,0,1,0.0945945945945946,1,NF1,Tumorsupressor,Cell Signaling,None Found,Activation,36,13,7,13,3,,,,,1,
173,NCOA6,1,FOS,74,74,86,0,TF,0,0,1,0.0945945945945946,1,NCOA6,TF,"Transcription regulation, Apoptosis",None Found,Activation,20,15,1,4,0,,,,,1,
174,MITF,1,FOS,74,74,86,0,oncogene,0,0,1,0.0945945945945946,1,MITF,Oncogene,"Apoptosis, Proliferation of cells",None Found,Activation,7,2,0,0,5,,,,,1,
175,HSF2,1,FOS,74,74,86,0,TF,0,0,1,0.0945945945945946,1,HSF2,TF,Transcription regulation,None Found,Unknown,2,0,0,1,1,,,,,1,
176,HOPX,1,FOS,74,74,86,0,tumorsupressor,0,0,1,0.0945945945945946,1,HOPX,Tumorsupressor,"Transcription regulation, Proliferation of cells",None Found,Repression,None Found,None Found,None Found,None Found,None Found,,,,,1,
177,HMGN1,1,FOS,74,74,86,0,TF,0,0,1,0.0945945945945946,1,HMGN1,TF,Proliferation of cells,None Found,Unknown,1,1,0,0,0,,,,,1,
178,GTF2I,1,FOS,74,74,86,0,TF,0,0,1,0.0945945945945946,1,GTF2I,TF,"Cell Signaling, Proliferation of cells",None Found,Activation,5,4,0,0,1,,,,,1,
179,ELK4,1,FOS,74,74,86,0,TF,0,0,1,0.0945945945945946,1,ELK4,TF,"Cell Signaling, Proliferation of cells",None Found,Activation,None Found,None Found,None Found,None Found,None Found,,,,,1,
180,ARNT,3,"ESR1,FOS,JUN",152,"72,74,6","89,86,33",0,TF,0,0,1,0.0945945945945946,1,ARNT,TF,Cell Signaling,None Found,Repression,7,4,1,1,1,,,,,2,
181,AHR,1,FOS,74,74,86,0,TF,0,0,1,0.0945945945945946,1,AHR,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,3,3,0,0,0,,,,,1,
182,STAR,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,STAR,None Found,Apoptosis,None Found,None Found,2,2,0,0,0,,,,,0,
183,SRR,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,SRR,None Found,Drug metabolism,None Found,None Found,1,1,0,0,0,,,,,0,
184,SPRR3,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,SPRR3,None Found,Proliferation of cells,-8.668595197,None Found,3,0,0,0,3,,,,,0,
185,SPI1,1,FOS,74,74,86,0,"oncogene, tumorsupressor",0,0,1,0.0945945945945946,1,SPI1,"Tumorsupressor, Oncogene","Transcriptional misregulation, Apoptosis, Proliferation of cells",None Found,None Found,3,3,0,0,0,,,,,0,
186,SOX7,1,FOS,74,74,86,0,tumorsupressor,0,0,1,0.0945945945945946,1,SOX7,Tumorsupressor,"Transcription regulation, Proliferation of cells",-0.756745042,None Found,3,1,2,0,0,,,,,0,
187,SLC10A2,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,SLC10A2,None Found,None Found,None Found,None Found,3,2,1,0,0,,,,,0,
188,PDHA1,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,PDHA1,None Found,"Apoptosis, Cell Signaling",None Found,None Found,5,2,2,0,1,,,,,0,
189,PCK2,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,PCK2,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,9,4,3,0,2,,,,,0,
190,OXTR,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,OXTR,None Found,"Cell Signaling, Proliferation of cells",-6.207909869,None Found,1,0,0,0,1,,,,,0,
191,NTS,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,NTS,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,0,
192,NQO1,1,FOS,74,74,86,0,cigene,0,0,1,0.0945945945945946,1,NQO1,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
193,NPY,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,NPY,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
194,NPPA,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,NPPA,None Found,Cell Signaling,None Found,None Found,1,1,0,0,0,,,,,0,
195,NOS2,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,NOS2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",4.345697573,None Found,14,11,3,0,0,,,,,0,
196,NFKB1,6,"BIRC5,MMP9,SERPINE1,EGR1,FOS,JUNB",367,"74,81,71,66,74,1","26,32,24,106,86,9",0,"oncogene, tumorsupressor, cigene",0,0,3,0.28419328419328416,3,NFKB1,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,7,4,2,0,1,,,,,4,
197,NEFL,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,NEFL,None Found,Apoptosis,None Found,None Found,3,1,1,0,1,,,,,0,
198,MFI2,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,MFI2,None Found,None Found,None Found,None Found,12,7,5,0,0,,,,,0,
199,LRIG2,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,LRIG2,None Found,Cell Signaling,None Found,None Found,6,5,1,0,0,,,,,0,
200,IL1A,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,IL1A,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
201,HSPH1,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,HSPH1,None Found,Apoptosis,None Found,None Found,6,4,0,0,2,,,,,0,
202,GSTP1,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,GSTP1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,0,
203,FMO4,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,FMO4,None Found,Drug metabolism,None Found,None Found,7,6,1,0,0,,,,,0,
204,FIGF,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,FIGF,None Found,Proliferation of cells,None Found,None Found,6,4,0,0,2,,,,,0,
205,FGFBP1,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,FGFBP1,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
206,FAS,2,"EGR1,FOS",140,"66,74","106,86",0,,0,0,2,0.11547911547911548,2,FAS,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
207,EZR,1,FOS,74,74,86,0,cigene,0,0,1,0.0945945945945946,1,EZR,Cigene,"Apoptosis, Proliferation of cells",-0.5852089833,None Found,6,2,1,1,2,,,,,0,
208,ERCC4,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,ERCC4,None Found,None Found,None Found,None Found,9,4,1,2,2,,,,,0,
209,DDIT3,1,FOS,74,74,86,0,oncogene,0,0,1,0.0945945945945946,1,DDIT3,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,0,0,1,1,,,,,0,
210,CYP1A2,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,CYP1A2,None Found,Drug metabolism,None Found,None Found,4,2,1,0,1,,,,,0,
211,CSTA,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,CSTA,None Found,Apoptosis,None Found,None Found,1,0,1,0,0,,,,,0,
212,CLU,1,FOS,74,74,86,0,"oncogene, tumorsupressor, cigene",0,0,1,0.0945945945945946,1,CLU,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,3,0,1,1,,,,,0,
213,CD40LG,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,CD40LG,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,0,
214,CCK,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,CCK,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
215,CASP9,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,CASP9,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,1,0,0,2,,,,,0,
216,BATF3,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,BATF3,None Found,Transcription regulation,None Found,None Found,2,2,0,0,0,,,,,0,
217,ACTA1,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,ACTA1,None Found,None Found,None Found,None Found,5,2,2,0,1,,,,,0,
218,RUNX3,2,"MMP9,CLDN7",135,"81,54","32,5",0,"oncogene, tumorsupressor",0,0,1,0.12962962962962962,1,RUNX3,"Tumorsupressor, Oncogene","Transcription regulation, Apoptosis, Proliferation of cells",None Found,Activation,1,0,1,0,0,,,,,2,
219,CTBP1,1,CLDN7,54,54,5,0,"tumorsupressor, cigene",0,0,1,0.12962962962962962,1,CTBP1,"Tumorsupressor, Cigene",Cell Signaling,None Found,Repression,7,1,1,0,5,,,,,1,
220,NFIL3,1,PGR,58,58,34,0,TF,0,0,0,,0,NFIL3,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,2,2,0,0,0,,,,,1,
221,KLF9,1,PGR,58,58,34,0,TF,0,0,0,,0,KLF9,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,3,0,0,0,3,,,,,1,
222,HOXA5,1,PGR,58,58,34,0,TF,0,0,0,,0,HOXA5,TF,"Transcription regulation, Apoptosis, Proliferation of cells",-2.87805321,Activation,5,3,1,0,1,,,,,1,
223,YWHAQ,2,"ESR1,PGR",130,"72,58","89,34",0,oncogene,0,0,0,,0,YWHAQ,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,0,
224,RLN2,1,PGR,58,58,34,0,,0,0,0,,0,RLN2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,0,
225,RLN1,1,PGR,58,58,34,0,,0,0,0,,0,RLN1,None Found,Cell Signaling,None Found,None Found,1,1,0,0,0,,,,,0,
226,PTGS2,3,"EGR1,FOS,PGR",198,"66,74,58","106,86,34",0,,0,0,2,0.11547911547911548,2,PTGS2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,10,3,5,2,0,,,,,0,
227,PTGER2,1,PGR,58,58,34,0,,0,0,0,,0,PTGER2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,2,2,1,0,,,,,0,
228,PRL,1,PGR,58,58,34,0,,0,0,0,,0,PRL,None Found,Cell Signaling,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
229,PLD1,1,PGR,58,58,34,0,"oncogene, tumorsupressor, cigene",0,0,0,,0,PLD1,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,12,7,2,0,3,,,,,0,
230,KLK4,1,PGR,58,58,34,0,,0,0,0,,0,KLK4,None Found,"Cell Signaling, Proliferation of cells",6.920792888,None Found,3,1,0,0,2,,,,,0,
231,IRS2,1,PGR,58,58,34,0,oncogene,0,0,0,,0,IRS2,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",-0.9311499934,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
232,IL10,1,PGR,58,58,34,0,cigene,0,0,0,,0,IL10,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
233,IGFBP1,1,PGR,58,58,34,0,,0,0,0,,0,IGFBP1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,0,
234,FOXP3,2,"ERBB2,PGR",137,"79,58","31,34",0,tumorsupressor,0,0,0,,0,FOXP3,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Unknown,7,2,3,1,1,,,,,1,
235,E2F1,4,"BIRC5,SERPINE1,ESR1,PGR",275,"74,71,72,58","26,24,89,34",0,"oncogene, tumorsupressor",0,0,1,0.6216216216216216,1,E2F1,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",4.23572194,Repression,4,4,0,0,0,,,,,2,
236,CYP19A1,2,"ESR1,PGR",130,"72,58","89,34",0,,0,0,0,,0,CYP19A1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,0,2,0,1,,,,,0,
237,BCL2L1,2,"FOS,PGR",132,"74,58","86,34",0,oncogene,0,0,1,0.0945945945945946,1,BCL2L1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,2,1,0,2,,,,,0,
238,BCL2,2,"ESR1,PGR",130,"72,58","89,34",0,oncogene,0,0,0,,0,BCL2,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
239,ATP1B1,1,PGR,58,58,34,0,,0,0,0,,0,ATP1B1,None Found,Cell Signaling,None Found,None Found,7,1,2,1,3,,,,,0,
240,ABCG2,1,PGR,58,58,34,0,"oncogene, tumorsupressor, cigene",0,0,0,,0,ABCG2,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
241,CCNA2,1,ESR1,72,72,89,0,,0,0,0,,0,CCNA2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",3.73577511,None Found,6,5,0,0,1,,,,,1,
242,BIRC5,74,"TP73,TP53,TCF7L2,TCF4,STAT3,SP4,SP3,SP1,RELA,RB1,NFKB1,MYCN,LEF1,KLF5,KLF4,ILF3,HDAC1,FOXO3,EP300,EHMT2,E2F4,E2F1,DNMT1,CTNNB1,APC,AURKC,CENPU,CENPA,CENPN,CENPH,CDC20,CDCA8,CCNB2,CENPK,AURKB,BIRC5,ZWINT,KIF2C,BUB1,CDK1,CENPF,CCNB1,BUB1B,NDC80,MAD2L1,CENPE,CDCA5,SPC24,SKA1,PLK1,CASC5,NUF2,KNTC1,SGOL1,ESPL1,KIF18A,SPC25,INCENP,ERCC6L,XPO1,NUSAP1,KIF20A,TOP2A,UBE2C,DLGAP5,CCNA2,TPX2,KIF11,AURKA,PBK,TTK,RACGAP1,KIF23,CENPM",155,"2,4,1,3,5,2,4,13,6,2,6,1,2,4,2,1,6,1,4,1,1,4,1,3,1,74,1","1,5,2,2,5,2,2,10,6,2,4,1,2,4,2,1,6,1,6,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",56,oncogene,13,2,46,0.2905405405405405,2,BIRC5,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",4.843343632,None Found,1,0,0,0,1,,,,,26,
243,MMP3,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,MMP3,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,4,0,0,0,,,,,1,
244,STAT6,2,"EGR1,FOS",140,"66,74","106,86",0,TF,0,0,2,0.11547911547911548,2,STAT6,TF,Cell Signaling,None Found,Activation,12,5,6,1,0,,,,,3,
245,MMP7,1,FOS,74,74,86,0,,0,0,1,0.0945945945945946,1,MMP7,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,0,0,0,3,,,,,1,
246,MMP1,1,FOS,74,74,86,0,cigene,0,0,1,0.0945945945945946,1,MMP1,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",-1.160650572,None Found,1,1,0,0,0,,,,,1,
247,CXCL8,2,"EGR1,FOS",140,"66,74","106,86",0,cigene,0,0,2,0.11547911547911548,2,CXCL8,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,1,
248,CTSD,1,ESR1,72,72,89,0,,0,0,0,,0,CTSD,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,1,
249,MMP9,81,"TFAP2A,STAT3,STAT1,SPDEF,SP2,SP1,SNAI2,SMAD3,SIRT1,RUNX3,RELA,PPARG,PPARA,NFKBIA,NFKB1,MTA1,MAZ,KLF8,KLF6,KLF5,JUN,IRF1,IKBKB,HDAC1,FOS,ETS2,ETS1,EP300,ELF4,ELF3,CIITA,SCUBE3,EPHB1,SDC4,TIMP3,SRC,ITGB2,CTSS,TNFAIP6,TIMP2,CHIT1,OSCAR,IDH1,LTA4H,EPHB2,OLFM4,MMP3,VEGFA,PLG,MMP10,CST3,STAT6,MMP7,CD44,ACAN,CXCL1,COL18A1,EDN1,CDH1,PTX3,NID1,HP,HBEGF,B2M,TIMP1,MMP9,LYZ,MMP1,PRSS3P2,CAMP,THBS1,PPBP,MMP8,CXCL8,CTSD,LTF,SDC1,A2M,TNF,ITGAM,CTSG",253,"3,5,2,1,1,13,1,3,1,2,6,3,2,1,6,2,1,1,1,4,6,1,1,6,74,2,2,4,1,2,1,1,3,2,1,1,81,1,2,1,1","3,5,3,1,1,10,2,4,1,2,6,4,2,1,4,3,1,1,1,4,33,2,1,6,86,3,3,6,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,3,1,2,1,1,1,1,3,1,1,2,2,1,2,32,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1",46,cigene,10,3,6,0.47597597597597596,3,MMP9,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,6,2,3,0,1,,,,,32,
250,HLTF,1,PGR,58,58,34,0,tumorsupressor,0,0,0,,0,HLTF,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,10,6,2,1,1,,,,,1,
251,NKX3-1,2,"ESR1,FOS",146,"72,74","89,86",0,tumorsupressor,0,0,1,0.0945945945945946,1,NKX3-1,Tumorsupressor,Proliferation of cells,None Found,Repression,2,2,0,0,0,,,,,3,
252,TCF7L2,1,BIRC5,74,74,26,0,"oncogene, tumorsupressor, cigene",0,0,1,0.6216216216216216,1,TCF7L2,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,8,5,0,0,3,,,,,2,
253,GDNF,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,GDNF,None Found,Cell Signaling,None Found,None Found,1,0,1,0,0,,,,,1,
254,TCF4,3,"BIRC5,EGR1,JUN",146,"74,66,6","26,106,33",0,tumorsupressor,0,0,2,0.378992628992629,2,TCF4,Tumorsupressor,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,10,6,4,0,0,,,,,2,
255,ID3,1,EGR1,66,66,106,0,TF,0,0,1,0.13636363636363635,1,ID3,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,0,0,0,2,,,,,1,
