Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
BTG2,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
BLM,Tumorsupressor,"Apoptosis, Proliferation of cells",2.524347298,None Found,15,10,3,1,1,,,,,0,
AVP,Oncogene,Cell Signaling,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
AMH,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
YBX1,Oncogene,"Apoptosis, Proliferation of cells",None Found,Activation,3,2,1,0,0,,,,,1,
XRCC6,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Unknown,5,3,2,0,0,,,,,1,
XRCC5,Tumorsupressor,None Found,None Found,Unknown,1,1,0,0,0,,,,,1,
WWP1,Oncogene,None Found,None Found,Activation,10,7,1,2,0,,,,,1,
VDR,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Unknown,3,1,1,0,1,,,,,1,
TFAP2B,Oncogene,"Apoptosis, Proliferation of cells",None Found,Unknown,6,3,2,0,1,,,,,1,
TFAP2A,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Unknown,13,8,2,0,3,,,,,3,
SP4,TF,Transcription regulation,None Found,Activation,8,5,3,0,0,,,,,2,
SP3,TF,Transcription regulation,None Found,Activation,8,4,0,1,3,,,,,2,
PURA,TF,Transcription regulation,None Found,Unknown,2,0,0,0,2,,,,,1,
PAX2,Oncogene,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,2,1,0,0,1,,,,,1,
GATA4,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,1,1,0,0,0,,,,,1,
GABPA,TF,Transcription regulation,None Found,Unknown,2,0,0,0,2,,,,,1,
ETV4,Oncogene,"Transcriptional misregulation, Proliferation of cells",None Found,Repression,None Found,None Found,None Found,None Found,None Found,,,,,1,
ELF1,TF,"Transcription regulation, Proliferation of cells",None Found,Unknown,8,4,1,1,2,,,,,1,
ECD,TF,Transcription regulation,None Found,Activation,5,3,1,1,0,,,,,1,
ATF7,TF,"Transcription regulation, Apoptosis",None Found,Unknown,1,1,0,0,0,,,,,1,
ATF1,Oncogene,Transcriptional misregulation,None Found,Unknown,2,2,0,0,0,,,,,1,
KLF4,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,4,2,0,0,2,,,,,2,
ZEB1,Cigene,"Apoptosis, Proliferation of cells",None Found,Repression,10,8,1,0,1,,,,,1,
PIAS4,TF,Cell Signaling,None Found,Repression,4,3,1,0,0,,,,,1,
PIAS2,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,6,5,0,0,1,,,,,1,
PIAS1,Tumorsupressor,Cell Signaling,None Found,Repression,3,3,0,0,0,,,,,1,
USF1,TF,Transcription regulation,None Found,Activation,7,2,1,1,3,,,,,1,
TGIF1,TF,"Cell Signaling, Proliferation of cells",None Found,Repression,3,1,0,0,2,,,,,1,
PPARA,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,4,3,0,1,0,,,,,2,
PARP1,TF,"Apoptosis, Proliferation of cells",None Found,Activation,12,7,2,2,1,,,,,1,
NR4A1,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,4,2,2,0,0,,,,,1,
KLF10,Tumorsupressor,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Activation,4,1,1,0,2,,,,,1,
HSF1,TF,None Found,None Found,Activation,3,3,0,0,0,,,,,1,
EPAS1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Activation,11,5,2,1,3,,,,,1,
NKX2-3,TF,"Transcription regulation, Proliferation of cells",None Found,Unknown,None Found,None Found,None Found,None Found,None Found,,,,,1,
MAML1,TF,"Cell Signaling, Proliferation of cells",None Found,Activation,5,2,3,0,0,,,,,1,
KLF5,"Tumorsupressor, Oncogene","Transcription regulation, Apoptosis, Proliferation of cells",None Found,Activation,2,1,0,0,1,,,,,4,
FOXO1,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,2,2,0,0,0,,,,,1,
ATF5,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,2,2,0,0,0,,,,,1,
WNT4,None Found,"Cell Signaling, Proliferation of cells",-3.682056459,None Found,4,3,0,0,1,,,,,0,
UBE2S,None Found,Apoptosis,2.456823213,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
TP73,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,2,2,0,0,0,,,,,1,
TOE1,None Found,None Found,None Found,None Found,2,0,1,0,1,,,,,0,
