,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade
70,SP3,4,"BIRC5,ERBB2,PLAT,ID4",205,"74,79,52","26,31,9,6",0,TF,0,0,,,
71,PURA,1,ERBB2,79,79,31,0,TF,0,0,,,
72,PAX2,1,ERBB2,79,79,31,0,oncogene,0,0,,,
73,GATA4,1,ERBB2,79,79,31,0,tumorsupressor,0,0,,,
74,GABPA,1,ERBB2,79,79,31,0,TF,0,0,,,
75,ETV4,1,ERBB2,79,79,31,0,oncogene,0,0,,,
76,ELF1,1,ERBB2,79,79,31,0,TF,0,0,,,
77,ECD,1,ERBB2,79,79,31,0,TF,0,0,,,
78,ATF7,1,ERBB2,79,79,31,0,TF,0,0,,,
79,ATF1,1,ERBB2,79,79,31,0,oncogene,0,0,,,
80,KLF4,2,"BIRC5,KRT19",128,"74,54","26,6",0,"oncogene, tumorsupressor",0,0,,,
81,ZEB1,2,"MUC1,ESR1",131,"59,72","10,89",0,cigene,0,0,,,
82,PIAS4,1,MUC1,59,59,10,0,TF,0,0,,,
83,PIAS2,1,MUC1,59,59,10,0,TF,0,0,,,
84,PIAS1,1,MUC1,59,59,10,0,tumorsupressor,0,0,,,
85,USF1,2,"SERPINE1,ID4",123,"71,52","24,6",0,TF,0,0,,,
86,TGIF1,1,SERPINE1,71,71,24,0,TF,0,0,,,
87,PPARA,2,"MMP9,SERPINE1",152,"81,71","32,24",0,tumorsupressor,0,0,,,
88,PARP1,2,"SERPINE1,JUN",77,"71,6","24,33",0,TF,0,0,,,
89,NR4A1,1,SERPINE1,71,71,24,0,tumorsupressor,0,0,,,
90,KLF10,1,SERPINE1,71,71,24,0,tumorsupressor,0,0,,,
91,HSF1,2,"SERPINE1,JUN",77,"71,6","24,33",0,TF,0,0,,,
92,EPAS1,1,SERPINE1,71,71,24,0,tumorsupressor,0,0,,,
93,NKX2-3,1,EGR1,66,66,106,0,TF,0,0,,,
94,MAML1,1,EGR1,66,66,106,0,TF,0,0,,,
95,KLF5,4,"BIRC5,MMP9,SERPINE1,EGR1",292,"74,81,71,66","26,32,24,106",0,"oncogene, tumorsupressor",0,0,,,
96,FOXO1,1,EGR1,66,66,106,0,"oncogene, tumorsupressor",0,0,,,
97,ATF5,1,EGR1,66,66,106,0,TF,0,0,,,
98,WNT4,1,EGR1,66,66,106,0,,0,0,,,
99,UBE2S,1,EGR1,66,66,106,0,,0,0,,,
100,TP73,2,"BIRC5,EGR1",140,"74,66","26,106",0,"oncogene, tumorsupressor",0,0,,,
101,TOE1,1,EGR1,66,66,106,0,,0,0,,,
102,TNFSF10,1,EGR1,66,66,106,0,,0,0,,,
103,TMPO,1,EGR1,66,66,106,0,,0,0,,,
104,TGFBR2,1,EGR1,66,66,106,0,tumorsupressor,0,0,,,
105,TFPI2,1,EGR1,66,66,106,0,tumorsupressor,0,0,,,
106,TBXA2R,1,EGR1,66,66,106,0,,0,0,,,
107,SYN2,1,EGR1,66,66,106,0,,0,0,,,
108,SYN1,1,EGR1,66,66,106,0,,0,0,,,
109,STMN1,1,EGR1,66,66,106,0,oncogene,0,0,,,
110,STIM1,1,EGR1,66,66,106,0,,0,0,,,
111,SPRY1,1,EGR1,66,66,106,0,,0,0,,,
112,SOX18,1,EGR1,66,66,106,0,,0,0,,,
113,SOD1,1,EGR1,66,66,106,0,,0,0,,,
114,SLC9A3,1,EGR1,66,66,106,0,,0,0,,,
115,SLC4A2,1,EGR1,66,66,106,0,,0,0,,,
116,RBL2,1,EGR1,66,66,106,0,tumorsupressor,0,0,,,
117,RAG2,1,EGR1,66,66,106,0,,0,0,,,
118,PTP4A1,1,EGR1,66,66,106,0,oncogene,0,0,,,
119,PTGES,1,EGR1,66,66,106,0,,0,0,,,
120,PSEN2,1,EGR1,66,66,106,0,,0,0,,,
121,POR,1,EGR1,66,66,106,0,,0,0,,,
122,PDGFC,1,EGR1,66,66,106,0,,0,0,,,
123,PCSK2,1,EGR1,66,66,106,0,,0,0,,,
124,NAB2,1,EGR1,66,66,106,0,TF,0,0,,,
125,MYB,2,"ERBB2,EGR1",145,"79,66","31,106",0,oncogene,0,0,,,
126,MMP14,1,EGR1,66,66,106,0,cigene,0,0,,,
127,LTB,1,EGR1,66,66,106,0,,0,0,,,
128,LMTK2,1,EGR1,66,66,106,0,,0,0,,,
129,LHB,1,EGR1,66,66,106,0,,0,0,,,
130,LDLR,1,EGR1,66,66,106,0,,0,0,,,
131,LAT,1,EGR1,66,66,106,0,,0,0,,,
132,KLK3,1,EGR1,66,66,106,0,,0,0,,,
133,IMPDH2,1,EGR1,66,66,106,0,,0,0,,,
134,IL3,1,EGR1,66,66,106,0,,0,0,,,
135,IL2RB,1,EGR1,66,66,106,0,,0,0,,,
136,IL2,1,EGR1,66,66,106,0,proto-oncogene,0,0,,,
137,IFNG,1,EGR1,66,66,106,0,oncogene,0,0,,,
138,HYAL1,1,EGR1,66,66,106,0,,0,0,,,
139,HSD11B2,1,EGR1,66,66,106,0,,0,0,,,
140,HPSE,1,EGR1,66,66,106,0,,0,0,,,
141,HIF1A,3,"MUC1,SERPINE1,EGR1",196,"59,71,66","10,24,106",0,"oncogene, tumorsupressor, cigene",0,0,,,
142,GGPS1,1,EGR1,66,66,106,0,,0,0,,,
143,GDF15,1,EGR1,66,66,106,0,cigene,0,0,,,
144,FLT1,2,"ESR1,EGR1",138,"72,66","89,106",0,,0,0,,,
145,FGF2,1,EGR1,66,66,106,0,,0,0,,,
146,FCER2,1,EGR1,66,66,106,0,,0,0,,,
147,FASLG,1,EGR1,66,66,106,0,,0,0,,,
148,FAP,1,EGR1,66,66,106,0,,0,0,,,
149,F3,1,EGR1,66,66,106,0,,0,0,,,
150,EAPP,1,EGR1,66,66,106,0,TF,0,0,,,
151,DMRT1,1,EGR1,66,66,106,0,,0,0,,,
152,CYP2B6,1,EGR1,66,66,106,0,,0,0,,,
153,CHGA,1,EGR1,66,66,106,0,,0,0,,,
154,CDKN1A,2,"ESR1,EGR1",138,"72,66","89,106",0,"oncogene, tumorsupressor",0,0,,,
155,CD28,1,EGR1,66,66,106,0,,0,0,,,
156,CCND2,1,EGR1,66,66,106,0,,0,0,,,
157,CACNA1H,1,EGR1,66,66,106,0,,0,0,,,
158,ATF3,1,EGR1,66,66,106,0,"oncogene, cigene",0,0,,,
159,ALOX5,1,EGR1,66,66,106,0,,0,0,,,
160,AKR1B1,1,EGR1,66,66,106,0,tumorsupressor,0,0,,,
161,ACHE,1,EGR1,66,66,106,0,,0,0,,,
162,ACE,1,EGR1,66,66,106,0,,0,0,,,
163,ABCB1,1,EGR1,66,66,106,0,cigene,0,0,,,
164,ZBTB7A,1,FOS,74,74,86,0,oncogene,0,0,,,
165,TWIST2,1,FOS,74,74,86,0,tumorsupressor,0,0,,,
166,TWIST1,2,"ESR1,FOS",146,"72,74","89,86",0,"oncogene, cigene",0,0,,,
167,TBP,1,FOS,74,74,86,0,TF,0,0,,,
168,SRF,2,"SERPINE1,FOS",145,"71,74","24,86",0,TF,0,0,,,
169,SMARCA4,1,FOS,74,74,86,0,tumorsupressor,0,0,,,
170,RBMX,4,"EGR1,FOS,JUNB,JUND",143,"66,74,1,2","106,86,9,5",0,tumorsupressor,0,0,,,
171,RB1,2,"BIRC5,FOS",148,"74,74","26,86",0,tumorsupressor,0,0,,,
172,NF1,2,"FOS,PLAT",74,74,"86,9",0,tumorsupressor,0,0,,,
173,NCOA6,1,FOS,74,74,86,0,TF,0,0,,,
174,MITF,1,FOS,74,74,86,0,oncogene,0,0,,,
175,HSF2,1,FOS,74,74,86,0,TF,0,0,,,
176,HOPX,1,FOS,74,74,86,0,tumorsupressor,0,0,,,
177,HMGN1,1,FOS,74,74,86,0,TF,0,0,,,
178,GTF2I,1,FOS,74,74,86,0,TF,0,0,,,
179,ELK4,1,FOS,74,74,86,0,TF,0,0,,,
180,ARNT,3,"ESR1,FOS,JUN",152,"72,74,6","89,86,33",0,TF,0,0,,,
181,AHR,1,FOS,74,74,86,0,TF,0,0,,,
182,STAR,1,FOS,74,74,86,0,,0,0,,,
183,SRR,1,FOS,74,74,86,0,,0,0,,,
184,SPRR3,1,FOS,74,74,86,0,,0,0,,,
185,SPI1,1,FOS,74,74,86,0,"oncogene, tumorsupressor",0,0,,,
186,SOX7,1,FOS,74,74,86,0,tumorsupressor,0,0,,,
187,SLC10A2,1,FOS,74,74,86,0,,0,0,,,
188,PDHA1,1,FOS,74,74,86,0,,0,0,,,
189,PCK2,1,FOS,74,74,86,0,,0,0,,,
190,OXTR,1,FOS,74,74,86,0,,0,0,,,
191,NTS,1,FOS,74,74,86,0,,0,0,,,
192,NQO1,1,FOS,74,74,86,0,cigene,0,0,,,
193,NPY,1,FOS,74,74,86,0,,0,0,,,
194,NPPA,1,FOS,74,74,86,0,,0,0,,,
195,NOS2,1,FOS,74,74,86,0,,0,0,,,
196,NFKB1,6,"BIRC5,MMP9,SERPINE1,EGR1,FOS,JUNB",367,"74,81,71,66,74,1","26,32,24,106,86,9",0,"oncogene, tumorsupressor, cigene",0,0,,,
197,NEFL,1,FOS,74,74,86,0,,0,0,,,
198,MFI2,1,FOS,74,74,86,0,,0,0,,,
199,LRIG2,1,FOS,74,74,86,0,,0,0,,,
200,IL1A,1,FOS,74,74,86,0,,0,0,,,
201,HSPH1,1,FOS,74,74,86,0,,0,0,,,
202,GSTP1,1,FOS,74,74,86,0,,0,0,,,
203,FMO4,1,FOS,74,74,86,0,,0,0,,,
204,FIGF,1,FOS,74,74,86,0,,0,0,,,
205,FGFBP1,1,FOS,74,74,86,0,,0,0,,,
206,FAS,2,"EGR1,FOS",140,"66,74","106,86",0,,0,0,,,
207,EZR,1,FOS,74,74,86,0,cigene,0,0,,,
208,ERCC4,1,FOS,74,74,86,0,,0,0,,,
209,DDIT3,1,FOS,74,74,86,0,oncogene,0,0,,,
210,CYP1A2,1,FOS,74,74,86,0,,0,0,,,
211,CSTA,1,FOS,74,74,86,0,,0,0,,,
212,CLU,1,FOS,74,74,86,0,"oncogene, tumorsupressor, cigene",0,0,,,
213,CD40LG,1,FOS,74,74,86,0,,0,0,,,
214,CCK,1,FOS,74,74,86,0,,0,0,,,
215,CASP9,1,FOS,74,74,86,0,,0,0,,,
216,BATF3,1,FOS,74,74,86,0,,0,0,,,
217,ACTA1,1,FOS,74,74,86,0,,0,0,,,
218,RUNX3,2,"MMP9,CLDN7",135,"81,54","32,5",0,"oncogene, tumorsupressor",0,0,,,
219,CTBP1,1,CLDN7,54,54,5,0,"tumorsupressor, cigene",0,0,,,
220,NFIL3,1,PGR,58,58,34,0,TF,0,0,,,
221,KLF9,1,PGR,58,58,34,0,TF,0,0,,,
222,HOXA5,1,PGR,58,58,34,0,TF,0,0,,,
223,YWHAQ,2,"ESR1,PGR",130,"72,58","89,34",0,oncogene,0,0,,,
224,RLN2,1,PGR,58,58,34,0,,0,0,,,
225,RLN1,1,PGR,58,58,34,0,,0,0,,,
226,PTGS2,3,"EGR1,FOS,PGR",198,"66,74,58","106,86,34",0,,0,0,,,
227,PTGER2,1,PGR,58,58,34,0,,0,0,,,
228,PRL,1,PGR,58,58,34,0,,0,0,,,
229,PLD1,1,PGR,58,58,34,0,"oncogene, tumorsupressor, cigene",0,0,,,
230,KLK4,1,PGR,58,58,34,0,,0,0,,,
231,IRS2,1,PGR,58,58,34,0,oncogene,0,0,,,
232,IL10,1,PGR,58,58,34,0,cigene,0,0,,,
233,IGFBP1,1,PGR,58,58,34,0,,0,0,,,
234,FOXP3,2,"ERBB2,PGR",137,"79,58","31,34",0,tumorsupressor,0,0,,,
235,E2F1,4,"BIRC5,SERPINE1,ESR1,PGR",275,"74,71,72,58","26,24,89,34",0,"oncogene, tumorsupressor",0,0,,,
236,CYP19A1,2,"ESR1,PGR",130,"72,58","89,34",0,,0,0,,,
237,BCL2L1,2,"FOS,PGR",132,"74,58","86,34",0,oncogene,0,0,,,
238,BCL2,2,"ESR1,PGR",130,"72,58","89,34",0,oncogene,0,0,,,
239,ATP1B1,1,PGR,58,58,34,0,,0,0,,,
240,ABCG2,1,PGR,58,58,34,0,"oncogene, tumorsupressor, cigene",0,0,,,
241,CCNA2,1,ESR1,72,72,89,0,,0,0,,,
242,BIRC5,74,"TP73,TP53,TCF7L2,TCF4,STAT3,SP4,SP3,SP1,RELA,RB1,NFKB1,MYCN,LEF1,KLF5,KLF4,ILF3,HDAC1,FOXO3,EP300,EHMT2,E2F4,E2F1,DNMT1,CTNNB1,APC,AURKC,CENPU,CENPA,CENPN,CENPH,CDC20,CDCA8,CCNB2,CENPK,AURKB,BIRC5,ZWINT,KIF2C,BUB1,CDK1,CENPF,CCNB1,BUB1B,NDC80,MAD2L1,CENPE,CDCA5,SPC24,SKA1,PLK1,CASC5,NUF2,KNTC1,SGOL1,ESPL1,KIF18A,SPC25,INCENP,ERCC6L,XPO1,NUSAP1,KIF20A,TOP2A,UBE2C,DLGAP5,CCNA2,TPX2,KIF11,AURKA,PBK,TTK,RACGAP1,KIF23,CENPM",155,"2,4,1,3,5,2,4,13,6,2,6,1,2,4,2,1,6,1,4,1,1,4,1,3,1,74,1","1,5,2,2,5,2,2,10,6,2,4,1,2,4,2,1,6,1,6,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",56,oncogene,13,2,,,
243,MMP3,1,FOS,74,74,86,0,,0,0,,,
244,STAT6,2,"EGR1,FOS",140,"66,74","106,86",0,TF,0,0,,,
245,MMP7,1,FOS,74,74,86,0,,0,0,,,
246,MMP1,1,FOS,74,74,86,0,cigene,0,0,,,
247,CXCL8,2,"EGR1,FOS",140,"66,74","106,86",0,cigene,0,0,,,
248,CTSD,1,ESR1,72,72,89,0,,0,0,,,
249,MMP9,81,"TFAP2A,STAT3,STAT1,SPDEF,SP2,SP1,SNAI2,SMAD3,SIRT1,RUNX3,RELA,PPARG,PPARA,NFKBIA,NFKB1,MTA1,MAZ,KLF8,KLF6,KLF5,JUN,IRF1,IKBKB,HDAC1,FOS,ETS2,ETS1,EP300,ELF4,ELF3,CIITA,SCUBE3,EPHB1,SDC4,TIMP3,SRC,ITGB2,CTSS,TNFAIP6,TIMP2,CHIT1,OSCAR,IDH1,LTA4H,EPHB2,OLFM4,MMP3,VEGFA,PLG,MMP10,CST3,STAT6,MMP7,CD44,ACAN,CXCL1,COL18A1,EDN1,CDH1,PTX3,NID1,HP,HBEGF,B2M,TIMP1,MMP9,LYZ,MMP1,PRSS3P2,CAMP,THBS1,PPBP,MMP8,CXCL8,CTSD,LTF,SDC1,A2M,TNF,ITGAM,CTSG",253,"3,5,2,1,1,13,1,3,1,2,6,3,2,1,6,2,1,1,1,4,6,1,1,6,74,2,2,4,1,2,1,1,3,2,1,1,81,1,2,1,1","3,5,3,1,1,10,2,4,1,2,6,4,2,1,4,3,1,1,1,4,33,2,1,6,86,3,3,6,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,3,1,2,1,1,1,1,3,1,1,2,2,1,2,32,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1",46,cigene,10,3,,,
250,HLTF,1,PGR,58,58,34,0,tumorsupressor,0,0,,,
251,NKX3-1,2,"ESR1,FOS",146,"72,74","89,86",0,tumorsupressor,0,0,,,
252,TCF7L2,1,BIRC5,74,74,26,0,"oncogene, tumorsupressor, cigene",0,0,,,
253,GDNF,1,EGR1,66,66,106,0,,0,0,,,
254,TCF4,3,"BIRC5,EGR1,JUN",146,"74,66,6","26,106,33",0,tumorsupressor,0,0,,,
255,ID3,1,EGR1,66,66,106,0,TF,0,0,,,
256,ID4,52,"ESR1,BLCAP,C10ORF142,GPR17,HLTF,GRHL3,ABCC3,GFAP,NKX3-1,ESM1,SRI,BRCA1,TRIM21,TCF7L2,POU3F1,NKX2-2,GDNF,NANOS2,GFRA1,SOHLH1,BCL6B,OLIG2,OLIG1,ZBTB16,SOX10,SOX2,NEUROG3,HEY2,HES5,NEUROG1,HES1,TCF4,TCF3,MYOD1,MYOG,MYRF,ID3,ID2,MYF6,EZH2,NOTCH1,PTEN,WNT5A,SOX4,YY1,CDC42,MMP2,CEBPB,BCL3,TP53,ID4,FKBP4",145,"72,1,2,5,1,1,3,1,1,2,4,52","89,1,1,1,1,1,1,1,3,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,3,1,1,1,5,6,2",39,"oncogene, tumorsupressor, cigene",7,3,,,
257,NGF,1,FOS,74,74,86,0,,0,0,,,
258,NTF3,1,FOS,74,74,86,0,,0,0,,,
259,NTRK2,51,"GIPC1,ADCYAP1R1,CDK5R1,RIT2,RIT1,DYNLT1,DOCK3,SH2B1,ADCYAP1,STAT3,CDH2,CDK5,CTNND1,CTNNB1,KRAS,NRAS,CTNNA1,RAP1A,FRS3,TIAM1,RAP1B,SRC,GAB1,FRS2,PTPN11,GRIN2B,RASA1,EHD4,NGF,BDNF,NTF3,NTRK1,NTF4,NTRK2,SHC1,GRB2,HRAS,PLCG1,SOS1,PIK3R1,RAC1,PIK3CA,CDC42,IGF1,SHC3,SHC2,CRK,CRKL,SHC4,KIDINS220,NGFR",62,"1,5,3,1,1,51","1,1,2,1,1,1,1,1,1,5,1,1,1,3,2,2,1,1,1,1,1,5,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,3,3,1,1,1,1,1,1,1",32,,5,1,,,
260,NR0B2,1,SERPINE1,71,71,24,0,tumorsupressor,0,0,,,
261,PELP1,1,ESR1,72,72,89,0,oncogene,0,0,,,
262,STAT1,2,"MMP9,EGR1",147,"81,66","32,106",0,tumorsupressor,0,0,,,
263,TERT,1,ESR1,72,72,89,0,cigene,0,0,,,
264,BCAR1,1,EGR1,66,66,106,0,,0,0,,,
265,MYC,4,"ESR1,FOS,PGR,JUNB",205,"72,74,58,1","89,86,34,9",0,"oncogene, cigene",0,0,,,
266,TFF1,1,ESR1,72,72,89,0,,0,0,,,
267,GREB1,1,ESR1,72,72,89,0,,0,0,,,
268,BRCA1,5,"KRT5,ESR1,EGR1,FOS,ID4",318,"54,72,66,74,52","5,89,106,86,6",0,tumorsupressor,0,0,,,
269,TFAP2C,2,"ESR1,ERBB2",151,"72,79","89,31",0,TF,0,0,,,
270,PTEN,1,EGR1,66,66,106,0,tumorsupressor,0,0,,,
271,DLC1,52,"GATA3,TENC1,TNS3,TRAF3IP3,GPM6B,HP,TLN2,SYN3,ZNF12,FBXW5,STARD7,RASA1,STARD6,STARD4,STARD5,ACOT12,COL4A3BP,ACOT11,STARD9,SPG20,PCTP,PRKD1,TNS4,RTKN,PTEN,CAV1,RHOD,RHOBTB1,RHOT1,RHOBTB2,RHOF,RAC3,RHOH,RHOJ,RHOT2,RAC1,RHOG,RHOQ,RHOU,RHOV,RHOA,DLC1,TLN1,AKT1,CDC42,CDH1,CDK6,PLCD1,RHOB,RHOC,RAC2,TNS1",57,"3,1,52,1","5,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,3,3,1,1,1,2,1,1",41,tumorsupressor,4,1,,,
272,TGFA,1,ESR1,72,72,89,0,,0,0,,,
273,CTNNB1,3,"BIRC5,ESR1,JUN",152,"74,72,6","26,89,33",0,"oncogene, cigene",0,0,,,
274,KRT5,54,"TFAP2A,SP1,BRCA1,KRT79,KRT4,KRT78,KRT6B,KRT77,KRT72,KRT6A,KRT82,KRT3,KRT2,KRT6C,KRT17,KRT80,KRT74,KRT81,KRT28,KRT25,KRT76,KRT35,KRT71,KRT15,KRT1,KRT5,KRT14,KRT86,KRT84,KRT32,KRT27,KRT38,KRT33B,KRT16,KRT75,KRT8,KRT7,KRT37,KRT39,KRT40,KRT36,KRT13,KRT26,KRT31,KRT23,KRT9,KRT10,KRT24,KRT34,KRT12,KRT18,KRT19,KRT20,KRT33A",129,"3,13,5,54,54","3,10,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,5,4,2,2,2,1,2,1,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,6,2,2",6,,0,0,,,
275,PIAS3,2,"ESR1,MUC1",131,"72,59","89,10",0,TF,0,0,,,
276,NCOR1,1,ESR1,72,72,89,0,TF,0,0,,,
277,ERBB2,79,"YY1,YBX1,XRCC6,XRCC5,WWP1,VDR,TFAP2C,TFAP2B,TFAP2A,SP4,SP3,SP1,PURA,PGR,PAX2,NCOA3,MYB,JUND,GATA4,GABPA,FOXP3,ETV4,EP300,ELK1,ELF1,ECD,CREB1,ATF7,ATF1,AR,PLXNB1,SEMA4D,GRB7,ERRFI1,TFF3,AREG,BTC,EREG,ADAM17,NRG1,NRG2,NRG3,PTK6,MEMO1,PTPN12,IL6,TGFA,CD44,MAPK8,HBEGF,PIK3CA,SHC1,PIK3R1,ERBB3,PTPN11,SOS1,FYN,RHOA,JAK2,PLCG1,RHOC,PLCG2,HRAS,KRAS,NRAS,CTNNB1,VEGFA,PIK3R2,HSP90AA1,ERBB2IP,PTK2,STUB1,ERBB2,EGFR,EGF,SRC,GAB1,GRB2,PTPN18",211,"2,1,1,1,1,1,2,1,3,2,4,13,1,58,1,1,2,2,1,1,2,1,4,2,1,1,4,1,1,5,1,1,3,3,79,3","4,1,1,1,1,1,2,1,3,2,2,10,1,34,1,3,1,5,1,1,1,1,6,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,4,2,2,1,2,2,1,2,1,2,2,1,2,2,2,3,3,1,3,1,1,2,31,2,2,5,2,2,1",41,"oncogene, cigene",11,6,,,
