Node 1,Node 2
MYCN,BIRC5
ILF3,BIRC5
FOXO3,BIRC5
EHMT2,BIRC5
E2F4,BIRC5
DNMT1,BIRC5
APC,BIRC5
SPDEF,MMP9
SP2,MMP9
SIRT1,MMP9
NFKBIA,MMP9
MAZ,MMP9
KLF8,MMP9
KLF6,MMP9
IKBKB,MMP9
ELF4,MMP9
CIITA,MMP9
XBP1,ESR1
NR2E3,ESR1
MECP2,ESR1
LEF1,BIRC5
LEF1,ESR1
KDM4B,ESR1
HDAC9,ESR1
BARX2,ESR1
BARD1,ESR1
ZFHX3,ESR1
UGT2B15,ESR1
UGT1A4,ESR1
TYMS,ESR1
TAC3,ESR1
SERPINB9,ESR1
RUNX2,ESR1
RET,ESR1
RARA,ESR1
PTMA,ESR1
PMAIP1,ESR1
OXT,ESR1
NRF1,ESR1
NR5A2,ESR1
MMP13,ESR1
MDM2,ESR1
KDR,ESR1
HTRA2,ESR1
HSPB1,ESR1
FOXP1,ESR1
F12,ESR1
ESRRA,ESR1
DCT,ESR1
CYP2C19,ESR1
CYP1B1,ESR1
CYP1A1,ESR1
CXCL12,ESR1
CRHBP,ESR1
CRH,ESR1
CHAT,ESR1
CDKN1B,ESR1
CDK4,ESR1
CD24,ESR1
BTG2,ESR1
BLM,ESR1
AVP,ESR1
AMH,ESR1
YBX1,ERBB2
XRCC6,ERBB2
XRCC5,ERBB2
WWP1,ERBB2
VDR,ERBB2
TFAP2B,ERBB2
TFAP2A,MMP9
TFAP2A,KRT5
TFAP2A,ERBB2
SP4,BIRC5
SP4,ERBB2
SP3,BIRC5
SP3,ERBB2
PURA,ERBB2
PAX2,ERBB2
GATA4,ERBB2
GABPA,ERBB2
ETV4,ERBB2
ELF1,ERBB2
ECD,ERBB2
ATF7,ERBB2
ATF1,ERBB2
KLF4,BIRC5
KLF4,KRT19
ZEB1,MUC1
ZEB1,ESR1
PIAS4,MUC1
PIAS2,MUC1
PIAS1,MUC1
USF1,SERPINE1
TGIF1,SERPINE1
PPARA,MMP9
PPARA,SERPINE1
PARP1,SERPINE1
NR4A1,SERPINE1
KLF10,SERPINE1
HSF1,SERPINE1
EPAS1,SERPINE1
NKX2-3,EGR1
MAML1,EGR1
KLF5,BIRC5
KLF5,MMP9
KLF5,SERPINE1
KLF5,EGR1
FOXO1,EGR1
ATF5,EGR1
WNT4,EGR1
UBE2S,EGR1
TP73,BIRC5
TP73,EGR1
TOE1,EGR1
TNFSF10,EGR1
TMPO,EGR1
TGFBR2,EGR1
TFPI2,EGR1
TBXA2R,EGR1
SYN2,EGR1
SYN1,EGR1
STMN1,EGR1
STIM1,EGR1
SPRY1,EGR1
SOX18,EGR1
SOD1,EGR1
SLC9A3,EGR1
SLC4A2,EGR1
RBL2,EGR1
RAG2,EGR1
PTP4A1,EGR1
PTGES,EGR1
PSEN2,EGR1
POR,EGR1
PDGFC,EGR1
PCSK2,EGR1
NAB2,EGR1
MYB,ERBB2
MYB,EGR1
MMP14,EGR1
LTB,EGR1
LMTK2,EGR1
LHB,EGR1
LDLR,EGR1
LAT,EGR1
KLK3,EGR1
IMPDH2,EGR1
IL3,EGR1
IL2RB,EGR1
IL2,EGR1
IFNG,EGR1
HYAL1,EGR1
HSD11B2,EGR1
HPSE,EGR1
HIF1A,MUC1
HIF1A,SERPINE1
HIF1A,EGR1
GGPS1,EGR1
GDF15,EGR1
FLT1,ESR1
FLT1,EGR1
FGF2,EGR1
FCER2,EGR1
FASLG,EGR1
FAP,EGR1
F3,EGR1
EAPP,EGR1
DMRT1,EGR1
CYP2B6,EGR1
CHGA,EGR1
CDKN1A,ESR1
CDKN1A,EGR1
CD28,EGR1
CCND2,EGR1
CACNA1H,EGR1
ATF3,EGR1
ALOX5,EGR1
AKR1B1,EGR1
ACHE,EGR1
ACE,EGR1
ABCB1,EGR1
ZBTB7A,FOS
TWIST2,FOS
TWIST1,ESR1
TWIST1,FOS
TBP,FOS
SRF,SERPINE1
SRF,FOS
SMARCA4,FOS
RBMX,EGR1
RBMX,FOS
RB1,BIRC5
RB1,FOS
NF1,FOS
NCOA6,FOS
MITF,FOS
HSF2,FOS
HOPX,FOS
HMGN1,FOS
GTF2I,FOS
ELK4,FOS
ARNT,ESR1
ARNT,FOS
AHR,FOS
STAR,FOS
SRR,FOS
SPRR3,FOS
SPI1,FOS
SOX7,FOS
SLC10A2,FOS
PDHA1,FOS
PCK2,FOS
OXTR,FOS
NTS,FOS
NQO1,FOS
NPY,FOS
NPPA,FOS
NOS2,FOS
NFKB1,BIRC5
NFKB1,MMP9
NFKB1,SERPINE1
NFKB1,EGR1
NFKB1,FOS
NEFL,FOS
MFI2,FOS
LRIG2,FOS
IL1A,FOS
HSPH1,FOS
GSTP1,FOS
FMO4,FOS
FIGF,FOS
FGFBP1,FOS
FAS,EGR1
FAS,FOS
EZR,FOS
ERCC4,FOS
DDIT3,FOS
CYP1A2,FOS
CSTA,FOS
CLU,FOS
CD40LG,FOS
CCK,FOS
CASP9,FOS
BATF3,FOS
ACTA1,FOS
RUNX3,MMP9
RUNX3,CLDN7
CTBP1,CLDN7
NFIL3,PGR
KLF9,PGR
HOXA5,PGR
YWHAQ,ESR1
YWHAQ,PGR
RLN2,PGR
RLN1,PGR
PTGS2,EGR1
PTGS2,FOS
PTGS2,PGR
PTGER2,PGR
PRL,PGR
PLD1,PGR
KLK4,PGR
IRS2,PGR
IL10,PGR
IGFBP1,PGR
FOXP3,ERBB2
FOXP3,PGR
E2F1,BIRC5
E2F1,SERPINE1
E2F1,ESR1
E2F1,PGR
CYP19A1,ESR1
CYP19A1,PGR
BCL2L1,FOS
BCL2L1,PGR
BCL2,ESR1
BCL2,PGR
ATP1B1,PGR
ABCG2,PGR
CCNA2,ESR1
BIRC5,TP73
BIRC5,TP53
BIRC5,TCF7L2
BIRC5,TCF4
BIRC5,STAT3
BIRC5,SP4
BIRC5,SP3
BIRC5,SP1
BIRC5,RELA
BIRC5,RB1
BIRC5,NFKB1
BIRC5,MYCN
BIRC5,LEF1
BIRC5,KLF5
BIRC5,KLF4
BIRC5,ILF3
BIRC5,HDAC1
BIRC5,FOXO3
BIRC5,EP300
BIRC5,EHMT2
BIRC5,E2F4
BIRC5,E2F1
BIRC5,DNMT1
BIRC5,CTNNB1
BIRC5,APC
BIRC5,AURKC
BIRC5,CENPU
BIRC5,CENPA
BIRC5,CENPN
BIRC5,CENPH
BIRC5,CDC20
BIRC5,CDCA8
BIRC5,CCNB2
BIRC5,CENPK
BIRC5,AURKB
BIRC5,BIRC5
BIRC5,ZWINT
BIRC5,KIF2C
BIRC5,BUB1
BIRC5,CDK1
BIRC5,CENPF
BIRC5,CCNB1
BIRC5,BUB1B
BIRC5,NDC80
BIRC5,MAD2L1
BIRC5,CENPE
BIRC5,CDCA5
BIRC5,SPC24
BIRC5,SKA1
BIRC5,PLK1
BIRC5,CASC5
BIRC5,NUF2
BIRC5,KNTC1
BIRC5,SGOL1
BIRC5,ESPL1
BIRC5,KIF18A
BIRC5,SPC25
BIRC5,INCENP
BIRC5,ERCC6L
BIRC5,XPO1
BIRC5,NUSAP1
BIRC5,KIF20A
BIRC5,TOP2A
BIRC5,UBE2C
BIRC5,DLGAP5
BIRC5,CCNA2
BIRC5,TPX2
BIRC5,KIF11
BIRC5,AURKA
BIRC5,PBK
BIRC5,TTK
BIRC5,RACGAP1
BIRC5,KIF23
BIRC5,CENPM
MMP3,FOS
STAT6,EGR1
STAT6,FOS
MMP7,FOS
MMP1,FOS
CXCL8,EGR1
CXCL8,FOS
CTSD,ESR1
MMP9,TFAP2A
MMP9,STAT3
MMP9,STAT1
MMP9,SPDEF
MMP9,SP2
MMP9,SP1
MMP9,SNAI2
MMP9,SMAD3
MMP9,SIRT1
MMP9,RUNX3
MMP9,RELA
MMP9,PPARG
MMP9,PPARA
MMP9,NFKBIA
MMP9,NFKB1
MMP9,MTA1
MMP9,MAZ
MMP9,KLF8
MMP9,KLF6
MMP9,KLF5
MMP9,JUN
MMP9,IRF1
MMP9,IKBKB
MMP9,HDAC1
MMP9,FOS
MMP9,ETS2
MMP9,ETS1
MMP9,EP300
MMP9,ELF4
MMP9,ELF3
MMP9,CIITA
MMP9,SCUBE3
MMP9,EPHB1
MMP9,SDC4
MMP9,TIMP3
MMP9,SRC
MMP9,ITGB2
MMP9,CTSS
MMP9,TNFAIP6
MMP9,TIMP2
MMP9,CHIT1
MMP9,OSCAR
MMP9,IDH1
MMP9,LTA4H
MMP9,EPHB2
MMP9,OLFM4
MMP9,MMP3
MMP9,VEGFA
MMP9,PLG
MMP9,MMP10
MMP9,CST3
MMP9,STAT6
MMP9,MMP7
MMP9,CD44
MMP9,ACAN
MMP9,CXCL1
MMP9,COL18A1
MMP9,EDN1
MMP9,CDH1
MMP9,PTX3
MMP9,NID1
MMP9,HP
MMP9,HBEGF
MMP9,B2M
MMP9,TIMP1
MMP9,MMP9
MMP9,LYZ
MMP9,MMP1
MMP9,PRSS3P2
MMP9,CAMP
MMP9,THBS1
MMP9,PPBP
MMP9,MMP8
MMP9,CXCL8
MMP9,CTSD
MMP9,LTF
MMP9,SDC1
MMP9,A2M
MMP9,TNF
MMP9,ITGAM
MMP9,CTSG
HLTF,PGR
NKX3-1,ESR1
NKX3-1,FOS
TCF7L2,BIRC5
GDNF,EGR1
TCF4,BIRC5
TCF4,EGR1
ID3,EGR1
ID4,ESR1
ID4,BLCAP
ID4,C10orf142
ID4,GPR17
ID4,HLTF
ID4,GRHL3
ID4,ABCC3
ID4,GFAP
ID4,NKX3-1
ID4,ESM1
ID4,SRI
ID4,BRCA1
ID4,TRIM21
ID4,TCF7L2
ID4,POU3F1
ID4,NKX2-2
ID4,GDNF
ID4,NANOS2
ID4,GFRA1
ID4,SOHLH1
ID4,BCL6B
ID4,OLIG2
ID4,OLIG1
ID4,ZBTB16
ID4,SOX10
ID4,SOX2
ID4,NEUROG3
ID4,HEY2
ID4,HES5
ID4,NEUROG1
ID4,HES1
ID4,TCF4
ID4,TCF3
ID4,MYOD1
ID4,MYOG
ID4,MYRF
ID4,ID3
ID4,ID2
ID4,MYF6
ID4,EZH2
ID4,NOTCH1
ID4,PTEN
ID4,WNT5A
ID4,SOX4
ID4,YY1
ID4,CDC42
ID4,MMP2
ID4,CEBPB
ID4,BCL3
ID4,TP53
ID4,ID4
ID4,FKBP4
NGF,FOS
NTF3,FOS
NTRk2,GIPC1
NTRk2,ADCYAP1R1
NTRk2,CDK5R1
NTRk2,RIT2
NTRk2,RIT1
NTRk2,DYNLT1
NTRk2,DOCK3
NTRk2,SH2B1
NTRk2,ADCYAP1
NTRk2,STAT3
NTRk2,CDH2
NTRk2,CDK5
NTRk2,CTNND1
NTRk2,CTNNB1
NTRk2,KRAS
NTRk2,NRAS
NTRk2,CTNNA1
NTRk2,RAP1A
NTRk2,FRS3
NTRk2,TIAM1
NTRk2,RAP1B
NTRk2,SRC
NTRk2,GAB1
NTRk2,FRS2
NTRk2,PTPN11
NTRk2,GRIN2B
NTRk2,RASA1
NTRk2,EHD4
NTRk2,NGF
NTRk2,BDNF
NTRk2,NTF3
NTRk2,NTRK1
NTRk2,NTF4
NTRk2,NTRK2
NTRk2,SHC1
NTRk2,GRB2
NTRk2,HRAS
NTRk2,PLCG1
NTRk2,SOS1
NTRk2,PIK3R1
NTRk2,RAC1
NTRk2,PIK3CA
NTRk2,CDC42
NTRk2,IGF1
NTRk2,SHC3
NTRk2,SHC2
NTRk2,CRK
NTRk2,CRKL
NTRk2,SHC4
NTRk2,KIDINS220
NTRk2,NGFR
NR0B2,SERPINE1
PELP1,ESR1
STAT1,MMP9
STAT1,EGR1
TERT,ESR1
BCAR1,EGR1
MYC,ESR1
MYC,FOS
MYC,PGR
TFF1,ESR1
GREB1,ESR1
BRCA1,KRT5
BRCA1,ESR1
BRCA1,EGR1
BRCA1,FOS
BRCA1,ID4
TFAP2C,ESR1
TFAP2C,ERBB2
PTEN,EGR1
DLC1,GATA3
DLC1,TENC1
DLC1,TNS3
DLC1,TRAF3IP3
DLC1,GPM6B
DLC1,HP
DLC1,TLN2
DLC1,SYN3
DLC1,ZNF12
DLC1,FBXW5
DLC1,STARD7
DLC1,RASA1
DLC1,STARD6
DLC1,STARD4
DLC1,STARD5
DLC1,ACOT12
DLC1,COL4A3BP
DLC1,ACOT11
DLC1,STARD9
DLC1,SPG20
DLC1,PCTP
DLC1,PRKD1
DLC1,TNS4
DLC1,RTKN
DLC1,PTEN
DLC1,CAV1
DLC1,RHOD
DLC1,RHOBTB1
DLC1,RHOT1
DLC1,RHOBTB2
DLC1,RHOF
DLC1,RAC3
DLC1,RHOH
DLC1,RHOJ
DLC1,RHOT2
DLC1,RAC1
DLC1,RHOG
DLC1,RHOQ
DLC1,RHOU
DLC1,RHOV
DLC1,RHOA
