Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating,Regulating Mutually Exclusively (ones array),ME,category
BCL2,2,"ESR1,PGR",130,"72,58","89,34",0,oncogene
ATP1B1,1,PGR,58,58,34,0,
ABCG2,1,PGR,58,58,34,0,"oncogene, tumorsupressor, cigene"
CCNA2,1,ESR1,72,72,89,0,
BIRC5,74,"TP73,TP53,TCF7L2,TCF4,STAT3,SP4,SP3,SP1,RELA,RB1,NFKB1,MYCN,LEF1,KLF5,KLF4,ILF3,HDAC1,FOXO3,EP300,EHMT2,E2F4,E2F1,DNMT1,CTNNB1,APC,AURKC,CENPU,CENPA,CENPN,CENPH,CDC20,CDCA8,CCNB2,CENPK,AURKB,BIRC5,ZWINT,KIF2C,BUB1,CDK1,CENPF,CCNB1,BUB1B,NDC80,MAD2L1,CENPE,CDCA5,SPC24,SKA1,PLK1,CASC5,NUF2,KNTC1,SGOL1,ESPL1,KIF18A,SPC25,INCENP,ERCC6L,XPO1,NUSAP1,KIF20A,TOP2A,UBE2C,DLGAP5,CCNA2,TPX2,KIF11,AURKA,PBK,TTK,RACGAP1,KIF23,CENPM",155,"2,4,1,3,5,2,4,13,6,2,6,1,2,4,2,1,6,1,4,1,1,4,1,3,1,74,1","1,5,2,2,5,2,2,10,6,2,4,1,2,4,2,1,6,1,6,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",56,oncogene
MMP3,1,FOS,74,74,86,0,
STAT6,2,"EGR1,FOS",140,"66,74","106,86",0,TF
MMP7,1,FOS,74,74,86,0,
MMP1,1,FOS,74,74,86,0,cigene
CXCL8,2,"EGR1,FOS",140,"66,74","106,86",0,cigene
CTSD,1,ESR1,72,72,89,0,
MMP9,81,"TFAP2A,STAT3,STAT1,SPDEF,SP2,SP1,SNAI2,SMAD3,SIRT1,RUNX3,RELA,PPARG,PPARA,NFKBIA,NFKB1,MTA1,MAZ,KLF8,KLF6,KLF5,JUN,IRF1,IKBKB,HDAC1,FOS,ETS2,ETS1,EP300,ELF4,ELF3,CIITA,SCUBE3,EPHB1,SDC4,TIMP3,SRC,ITGB2,CTSS,TNFAIP6,TIMP2,CHIT1,OSCAR,IDH1,LTA4H,EPHB2,OLFM4,MMP3,VEGFA,PLG,MMP10,CST3,STAT6,MMP7,CD44,ACAN,CXCL1,COL18A1,EDN1,CDH1,PTX3,NID1,HP,HBEGF,B2M,TIMP1,MMP9,LYZ,MMP1,PRSS3P2,CAMP,THBS1,PPBP,MMP8,CXCL8,CTSD,LTF,SDC1,A2M,TNF,ITGAM,CTSG",253,"3,5,2,1,1,13,1,3,1,2,6,3,2,1,6,2,1,1,1,4,6,1,1,6,74,2,2,4,1,2,1,1,3,2,1,1,81,1,2,1,1","3,5,3,1,1,10,2,4,1,2,6,4,2,1,4,3,1,1,1,4,33,2,1,6,86,3,3,6,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,3,1,2,1,1,1,1,3,1,1,2,2,1,2,32,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1",46,cigene
HLTF,1,PGR,58,58,34,0,tumorsupressor
NKX3-1,2,"ESR1,FOS",146,"72,74","89,86",0,tumorsupressor
TCF7L2,1,BIRC5,74,74,26,0,"oncogene, tumorsupressor, cigene"
GDNF,1,EGR1,66,66,106,0,
TCF4,3,"BIRC5,EGR1,JUN",146,"74,66,6","26,106,33",0,tumorsupressor
ID3,1,EGR1,66,66,106,0,TF
ID4,52,"ESR1,BLCAP,C10ORF142,GPR17,HLTF,GRHL3,ABCC3,GFAP,NKX3-1,ESM1,SRI,BRCA1,TRIM21,TCF7L2,POU3F1,NKX2-2,GDNF,NANOS2,GFRA1,SOHLH1,BCL6B,OLIG2,OLIG1,ZBTB16,SOX10,SOX2,NEUROG3,HEY2,HES5,NEUROG1,HES1,TCF4,TCF3,MYOD1,MYOG,MYRF,ID3,ID2,MYF6,EZH2,NOTCH1,PTEN,WNT5A,SOX4,YY1,CDC42,MMP2,CEBPB,BCL3,TP53,ID4,FKBP4",145,"72,1,2,5,1,1,3,1,1,2,4,52","89,1,1,1,1,1,1,1,3,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,4,3,1,1,1,5,6,2",39,"oncogene, tumorsupressor, cigene"
NGF,1,FOS,74,74,86,0,
NTF3,1,FOS,74,74,86,0,
NTRk2,51,"GIPC1,ADCYAP1R1,CDK5R1,RIT2,RIT1,DYNLT1,DOCK3,SH2B1,ADCYAP1,STAT3,CDH2,CDK5,CTNND1,CTNNB1,KRAS,NRAS,CTNNA1,RAP1A,FRS3,TIAM1,RAP1B,SRC,GAB1,FRS2,PTPN11,GRIN2B,RASA1,EHD4,NGF,BDNF,NTF3,NTRK1,NTF4,NTRK2,SHC1,GRB2,HRAS,PLCG1,SOS1,PIK3R1,RAC1,PIK3CA,CDC42,IGF1,SHC3,SHC2,CRK,CRKL,SHC4,KIDINS220,NGFR",62,"1,5,3,1,1,51","1,1,2,1,1,1,1,1,1,5,1,1,1,3,2,2,1,1,1,1,1,5,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,3,3,1,1,1,1,1,1,1",32,
NR0B2,1,SERPINE1,71,71,24,0,tumorsupressor
PELP1,1,ESR1,72,72,89,0,oncogene
STAT1,2,"MMP9,EGR1",147,"81,66","32,106",0,tumorsupressor
TERT,1,ESR1,72,72,89,0,cigene
BCAR1,1,EGR1,66,66,106,0,
MYC,4,"ESR1,FOS,PGR,JUNB",205,"72,74,58,1","89,86,34,9",0,"oncogene, cigene"
TFF1,1,ESR1,72,72,89,0,
GREB1,1,ESR1,72,72,89,0,
BRCA1,5,"KRT5,ESR1,EGR1,FOS,ID4",318,"54,72,66,74,52","5,89,106,86,6",0,tumorsupressor
TFAP2C,2,"ESR1,ERBB2",151,"72,79","89,31",0,TF
PTEN,1,EGR1,66,66,106,0,tumorsupressor
DLC1,52,"GATA3,TENC1,TNS3,TRAF3IP3,GPM6B,HP,TLN2,SYN3,ZNF12,FBXW5,STARD7,RASA1,STARD6,STARD4,STARD5,ACOT12,COL4A3BP,ACOT11,STARD9,SPG20,PCTP,PRKD1,TNS4,RTKN,PTEN,CAV1,RHOD,RHOBTB1,RHOT1,RHOBTB2,RHOF,RAC3,RHOH,RHOJ,RHOT2,RAC1,RHOG,RHOQ,RHOU,RHOV,RHOA,DLC1,TLN1,AKT1,CDC42,CDH1,CDK6,PLCD1,RHOB,RHOC,RAC2,TNS1",57,"3,1,52,1","5,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,3,3,1,1,1,2,1,1",41,tumorsupressor
TGFA,1,ESR1,72,72,89,0,
CTNNB1,3,"BIRC5,ESR1,JUN",152,"74,72,6","26,89,33",0,"oncogene, cigene"
KRT5,54,"TFAP2A,SP1,BRCA1,KRT79,KRT4,KRT78,KRT6B,KRT77,KRT72,KRT6A,KRT82,KRT3,KRT2,KRT6C,KRT17,KRT80,KRT74,KRT81,KRT28,KRT25,KRT76,KRT35,KRT71,KRT15,KRT1,KRT5,KRT14,KRT86,KRT84,KRT32,KRT27,KRT38,KRT33B,KRT16,KRT75,KRT8,KRT7,KRT37,KRT39,KRT40,KRT36,KRT13,KRT26,KRT31,KRT23,KRT9,KRT10,KRT24,KRT34,KRT12,KRT18,KRT19,KRT20,KRT33A",129,"3,13,5,54,54","3,10,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,5,4,2,2,2,1,2,1,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,6,2,2",6,
PIAS3,2,"ESR1,MUC1",131,"72,59","89,10",0,TF
NCOR1,1,ESR1,72,72,89,0,TF
ERBB2,79,"YY1,YBX1,XRCC6,XRCC5,WWP1,VDR,TFAP2C,TFAP2B,TFAP2A,SP4,SP3,SP1,PURA,PGR,PAX2,NCOA3,MYB,JUND,GATA4,GABPA,FOXP3,ETV4,EP300,ELK1,ELF1,ECD,CREB1,ATF7,ATF1,AR,PLXNB1,SEMA4D,GRB7,ERRFI1,TFF3,AREG,BTC,EREG,ADAM17,NRG1,NRG2,NRG3,PTK6,MEMO1,PTPN12,IL6,TGFA,CD44,MAPK8,HBEGF,PIK3CA,SHC1,PIK3R1,ERBB3,PTPN11,SOS1,FYN,RHOA,JAK2,PLCG1,RHOC,PLCG2,HRAS,KRAS,NRAS,CTNNB1,VEGFA,PIK3R2,HSP90AA1,ERBB2IP,PTK2,STUB1,ERBB2,EGFR,EGF,SRC,GAB1,GRB2,PTPN18",211,"2,1,1,1,1,1,2,1,3,2,4,13,1,58,1,1,2,2,1,1,2,1,4,2,1,1,4,1,1,5,1,1,3,3,79,3","4,1,1,1,1,1,2,1,3,2,2,10,1,34,1,3,1,5,1,1,1,1,6,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,4,2,2,1,2,2,1,2,1,2,2,1,2,2,2,3,3,1,3,1,1,2,31,2,2,5,2,2,1",41,"oncogene, cigene"
AR,5,"ERBB2,MUC1,ESR1,EGR1,JUN",282,"79,59,72,66,6","31,10,89,106,33",0,"oncogene, cigene"
NCOA3,1,ERBB2,79,79,31,0,"oncogene, cigene"
PGR,58,"ESR1,ERBB2,FOS,SP1,RELA,NFIL3,KLF9,JUN,HOXA5,PIAS3,NCOR1,SUMO1,NCOR2,PRKACB,PRKACA,PIK3CA,MED1,NCOA1,HSP90AA1,STIP1,HSP90AB1,AR,PTGES3,NR3C1,PGR,NR3C2,HSPA8,HSPA2,HSPA1A,HSPA1L,HSPA1B,ACTR1A,MAPK3,MAPK1,DYNLL2,FOXA1,EP300,DYNLL1,TLE3,CAPZA1,NRIP1,DCTN1,FKBP5,ACTR10,GATA3,DYNC1LI2,DYNC1LI1,DYNC1I2,DCTN5,DYNC1H1,DYNC1I1,CAPZA3,DCTN6,DCTN3,NCOA3,SRC,UBE2I,FKBP4",328,"72,79,74,13,6,1,1,6,1,2,1,5,58,1,4,3,1","89,31,86,10,6,1,1,33,1,3,2,1,2,1,1,4,2,2,3,1,2,3,1,2,34,1,1,1,1,1,1,1,4,4,1,3,6,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,3,5,1,2",32,tumorsupressor
ELF3,2,"MMP9,CLDN7",135,"81,54","32,5",0,TF
CDH1,1,ESR1,72,72,89,0,"oncogene, tumorsupressor"
KRT19,54,"ESR1,SP1,KLF4,MAPK11,MAPK14,EPCAM,KRT79,KRT4,KRT78,KRT6B,KRT73,KRT77,KRT72,KRT85,KRT6A,KRT82,KRT3,KRT2,KRT6C,KRT17,KRT80,KRT74,KRT81,KRT28,KRT76,KRT71,KRT15,KRT1,KRT5,KRT14,KRT86,KRT84,KRT32,KRT38,KRT16,KRT75,KRT8,KRT7,KRT37,KRT40,KRT83,KRT36,KRT13,KRT26,KRT23,KRT9,KRT10,KRT24,KRT34,KRT12,KRT18,KRT19,KRT20,KRT33A",195,"72,13,2,54,54","89,10,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,3,6,2,2",4,
CLDN7,54,"RUNX3,HDAC1,ELF3,CTBP1,ING1,RPL23,M1AP,PI4K2B,PKP3,PRSS8,SPINT1,ST14,TACSTD2,CD81,SCARB1,CCDC102A,CDH1,EPCAM,KRT19,KRT18,RAB25,KRT8,SNAI1,CLDN12,CLDN23,CLDN14,CLDN16,CLDN5,CLDN6,CLDN2,CLDN19,CLDN3,CLDN9,CLDN10,CLDN4,CLDN18,CLDN8,CLDN15,CLDN1,CLDN17,CLDN22,CLDN7,CLDN20,OCLN,ESAM,CLDN25,TJP1,CLDN24,F11R,TJP3,TJP2,WNK4,MARVELD2,CLDN11",120,"2,6,2,1,1,54,54","2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,6,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1",44,
CREM,2,"FOS,PLAT",74,74,"86,9",0,TF
FOXA1,1,FOS,74,74,86,0,oncogene
GATA3,3,"ESR1,DLC1,MUC1",183,"72,52,59","89,2,10",0,cigene
YY1,2,"ERBB2,SERPINE1",150,"79,71","31,24",0,oncogene
DUSP1,1,PGR,58,58,34,0,
ETS1,2,"MMP9,EGR1",147,"81,66","32,106",0,"oncogene, tumorsupressor, cigene"
STAT5A,1,ESR1,72,72,89,0,tumorsupressor
CREB1,4,"ERBB2,FOS,PLAT,JUN",159,"79,74,6","31,86,9,33",0,oncogene
IL6,1,EGR1,66,66,106,0,
STAT5B,1,ESR1,72,72,89,0,TF
ESR1,72,"ESR1,KRT19,SERPINE1,FOS,PGR,ID4,XBP1,TWIST1,TP53,TFAP2C,STAT5B,STAT5A,SP1,RUNX2,PIAS3,NR2E3,NKX3-1,NCOR1,MTA1,MECP2,LEF1,KDM4B,HDAC9,HDAC7,HDAC1,GATA3,BRCA1,BARX2,BARD1,ARNT,NCOA7,NCOA2,PHB2,CCNT1,KDM1A,CARM1,NR0B2,PELP1,ZNF217,PPARGC1A,JUN,MAPK3,SMAD3,HSP90AA1,STAT1,SRC,IGF1,TERT,NCOR2,HSP90AB1,IGF1R,NRIP1,AKT1,CCND1,GAPDH,SMAD4,NOS3,PIK3CA,STK11,NCOA3,MED1,NCOA1,BCAR1,STUB1,MAPK1,MYC,EP300,CREBBP,FOXA1,TFF1,GREB1,JUNB",474,"72,54,71,74,58,52,1,2,4,2,1,1,13,1,2,1,2,1,2,1,2,1,1,1,6,3,5,1,1,3,1,1,6,3,2,1,4,3,1,1,4,4,1,1,1,1","89,6,24,86,34,6,1,2,5,2,2,2,10,1,3,1,3,2,3,1,2,1,1,2,6,5,5,1,1,2,1,1,1,1,2,1,2,1,1,1,33,4,4,3,3,5,3,1,2,2,1,2,2,2,1,2,1,4,1,3,2,2,1,2,4,1,6,1,3,1,1,9",26,TF
