PGR,HSP90AB1
PGR,STIP1
PGR,HSP90AA1
PGR,ERBB2
PGR,NCOA1
PGR,MED1
PGR,PIK3CA
PGR,PRKACA
PGR,PRKACB
PGR,NCOR2
PGR,SUMO1
PGR,NCOR1
PGR,PIAS3
KRT19,KRT33A
KRT19,KRT20
KRT19,KRT19
KRT19,KRT18
KRT19,KRT12
KRT19,KRT34
KRT19,KRT24
KRT19,KRT10
KRT19,KRT9
KRT19,KRT23
KRT19,KRT26
KRT19,KRT13
KRT19,KRT36
KRT19,KRT83
KRT19,KRT40
KRT19,KRT37
KRT19,KRT7
KRT19,KRT8
KRT19,KRT75
KRT19,KRT16
KRT19,KRT38
KRT19,KRT32
KRT19,KRT84
KRT19,KRT86
KRT19,KRT14
KRT19,KRT5
KRT19,KRT1
KRT19,KRT15
KRT19,KRT71
KRT19,KRT76
KRT19,KRT28
KRT19,KRT81
KRT19,KRT74
KRT19,KRT80
KRT19,KRT17
KRT19,KRT6C
KRT19,KRT2
KRT19,KRT3
KRT19,KRT82
KRT19,KRT6A
KRT19,KRT85
KRT19,KRT72
KRT19,KRT77
KRT19,KRT73
KRT19,KRT6B
KRT19,KRT78
KRT19,KRT4
KRT19,KRT79
KRT19,EPCAM
KRT19,MAPK14
KRT19,MAPK11
ERBB2,PTPN18
ERBB2,GRB2
ERBB2,GAB1
ERBB2,SRC
ERBB2,EGF
ERBB2,EGFR
ERBB2,ERBB2
ERBB2,STUB1
ERBB2,PTK2
ERBB2,ERBB2IP
ERBB2,HSP90AA1
ERBB2,PIK3R2
ERBB2,VEGFA
ERBB2,CTNNB1
ERBB2,PGR
ERBB2,NRAS
ERBB2,KRAS
ERBB2,HRAS
ERBB2,PLCG2
ERBB2,RHOC
ERBB2,PLCG1
ERBB2,JAK2
ERBB2,RHOA
ERBB2,FYN
ERBB2,SOS1
ERBB2,PTPN11
ERBB2,ERBB3
ERBB2,PIK3R1
ERBB2,SHC1
ERBB2,PIK3CA
ERBB2,HBEGF
ERBB2,MAPK8
ERBB2,CD44
ERBB2,TGFA
ERBB2,IL6
ERBB2,PTPN12
ERBB2,MEMO1
ERBB2,PTK6
ERBB2,NRG3
ERBB2,NRG2
ERBB2,NRG1
ERBB2,ADAM17
ERBB2,EREG
ERBB2,BTC
ERBB2,AREG
ERBB2,YY1
ERBB2,TFF3
ERBB2,ERRFI1
ERBB2,GRB7
ERBB2,SEMA4D
ERBB2,PLXNB1
DLC1,TNS1
DLC1,RAC2
DLC1,RHOC
DLC1,RHOB
DLC1,PLCD1
DLC1,CDK6
DLC1,CDH1
DLC1,CDC42
DLC1,AKT1
DLC1,TLN1
DLC1,DLC1
DLC1,RHOA
DLC1,RHOV
DLC1,RHOU
DLC1,RHOQ
DLC1,RHOG
DLC1,RAC1
DLC1,RHOT2
DLC1,RHOJ
DLC1,RHOH
DLC1,RAC3
DLC1,RHOF
DLC1,RHOBTB2
DLC1,RHOT1
DLC1,RHOBTB1
DLC1,RHOD
DLC1,CAV1
DLC1,PTEN
DLC1,RTKN
DLC1,TNS4
DLC1,PRKD1
DLC1,PCTP
DLC1,SPG20
DLC1,STARD9
DLC1,ACOT11
DLC1,COL4A3BP
DLC1,ACOT12
DLC1,STARD5
DLC1,STARD4
DLC1,STARD6
DLC1,RASA1
DLC1,STARD7
DLC1,FBXW5
DLC1,ZNF12
DLC1,SYN3
DLC1,TLN2
DLC1,HP
DLC1,GPM6B
DLC1,TRAF3IP3
DLC1,TNS3
DLC1,TENC1
ESR1,TFAP2C
ESR1,BRCA1
ESR1,GREB1
ESR1,TFF1
ESR1,FOXA1
ESR1,GATA3
ESR1,CREBBP
ESR1,EP300
ESR1,MYC
ESR1,ESR1
ESR1,MAPK1
ESR1,STUB1
ESR1,BCAR1
ESR1,NCOA1
ESR1,MED1
ESR1,HDAC1
ESR1,NCOA3
ESR1,STK11
ESR1,PIK3CA
ESR1,NOS3
ESR1,SMAD4
ESR1,GAPDH
ESR1,CCND1
ESR1,AKT1
ESR1,NRIP1
ESR1,IGF1R
ESR1,HSP90AB1
ESR1,NCOR2
ESR1,TERT
ESR1,PGR
ESR1,IGF1
ESR1,SRC
ESR1,SP1
ESR1,STAT1
ESR1,HSP90AA1
ESR1,SMAD3
ESR1,STAT5A
ESR1,MAPK3
ESR1,FOS
ESR1,JUN
ESR1,PPARGC1A
ESR1,NCOR1
ESR1,ZNF217
ESR1,PELP1
ESR1,NR0B2
ESR1,CARM1
ESR1,KDM1A
ESR1,CCNT1
ESR1,PHB2
ESR1,NCOA2
ESR1,NCOA7
KRT5,KRT33A
KRT5,KRT20
KRT5,KRT19
KRT5,KRT18
KRT5,KRT12
KRT5,KRT34
KRT5,KRT24
KRT5,KRT10
KRT5,KRT9
KRT5,KRT23
KRT5,KRT31
KRT5,KRT26
KRT5,KRT13
