"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.0","0","1","1","false","LRP1","70.0","0","0","false","0","LRP1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","SMAD2","70.0","0","0","false","0","SMAD2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","PLAT","70.0","0","0","false","0","PLAT","0"
"3.4171686746987953","0.07509578053864864","0.29263992948435436","0.3333333333333333","4","3","1","false","PLAUR","114.0","2","0","false","0","PLAUR","697127"
"3.4171686746987953","0.07509578053864864","0.29263992948435436","0.3333333333333333","4","3","1","false","PLAU","114.0","2","0","false","0","PLAU","697127"
"3.4894578313253013","0.8992678044712695","0.28657747086750107","0.5","5","7","5","false","SMAD3","98.5","2","2","false","0","SMAD3","5612794"
"0.0","0.0","0.0","0.0","0","1","1","false","F5","70.0","0","0","false","0","F5","0"
"0.0","0.0","0.0","0.0","0","1","1","false","HRG","70.0","0","0","false","0","HRG","0"
"0.0","0.0","0.0","0.0","0","1","1","false","FGG","70.0","0","0","false","0","FGG","0"
"0.0","0.0","0.0","0.0","0","1","1","false","FGA","70.0","0","0","false","0","FGA","0"
"0.0","0.0","0.0","0.0","0","1","1","false","FGB","70.0","0","0","false","0","FGB","0"
"0.0","0.0","0.0","0.0","0","1","1","false","F8","70.0","0","0","false","0","F8","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ACTN4","70.0","0","0","false","0","ACTN4","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ORM1","70.0","0","0","false","0","ORM1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","F13A1","70.0","0","0","false","0","F13A1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","PROS1","70.0","0","0","false","0","PROS1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","SRGN","70.0","0","0","false","0","SRGN","0"
"0.0","0.0","0.0","0.0","0","1","1","false","SERPINF2","70.0","0","0","false","0","SERPINF2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","CFD","70.0","0","0","false","0","CFD","0"
"0.0","0.0","0.0","0.0","0","1","1","false","AHSG","70.0","0","0","false","0","AHSG","0"
"0.0","0.0","0.0","0.0","0","1","1","false","KNG1","70.0","0","0","false","0","KNG1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","PPBP","75.0","0","0","false","0","PPBP","0"
"3.852409638554217","0.03646798100576367","0.2595777951524629","0.0","5","2","1","false","IGF2","110.0","1","0","false","0","IGF2","384327"
"3.852409638554217","0.03646798100576367","0.2595777951524629","0.0","5","2","1","false","PDGFB","110.0","1","0","false","0","PDGFB","384327"
"0.0","0.0","0.0","0.0","0","1","1","false","TGFB3","70.0","0","0","false","0","TGFB3","0"
"0.0","0.0","0.0","0.0","0","1","1","false","VEGFC","70.0","0","0","false","0","VEGFC","0"
"0.0","0.0","0.0","0.0","0","1","1","false","PF4","70.0","0","0","false","0","PF4","0"
"0.0","0.0","0.0","0.0","0","1","1","false","TGFB2","70.0","0","0","false","0","TGFB2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","VWF","70.0","0","0","false","0","VWF","0"
"0.0","0.0","0.0","0.0","0","1","1","false","SPARC","70.0","0","0","false","0","SPARC","0"
"0.0","0.0","0.0","0.0","0","2","2","false","A2M","75.0","0","0","false","0","A2M","0"
"0.0","0.0","0.0","0.3333333333333333","0","3","3","false","IGF1","81.0","0","0","false","0","IGF1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ALB","70.0","0","0","false","0","ALB","0"
"0.0","0.0","0.0","0.0","0","1","1","false","HGF","70.0","0","0","false","0","HGF","0"
"0.0","0.0","0.0","0.0","0","2","2","false","PLG","75.0","0","0","false","0","PLG","0"
"3.852409638554217","0.03646798100576367","0.2595777951524629","0.0","5","2","1","false","FN1","110.0","1","0","false","0","FN1","384327"
"3.1310240963855422","0.7179363096863904","0.3193843193843194","0.2","4","7","3","false","VEGFA","96.83333333333333","4","1","false","0","VEGFA","5625161"
"0.0","0.0","0.0","0.0","0","2","2","false","EGF","74.0","0","0","false","0","EGF","0"
"0.0","0.0","0.0","0.0","0","2","2","false","THBS1","75.0","0","0","false","0","THBS1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","TGFB1","96.0","0","0","false","0","TGFB1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ITGB3","70.0","0","0","false","0","ITGB3","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ITGAV","70.0","0","0","false","0","ITGAV","0"
"3.8132530120481927","0.0","0.26224328593996843","0.0","5","3","2","false","ARNTL2","70.0","1","1","false","0","ARNTL2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","VLDLR","70.0","0","0","false","0","VLDLR","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ARNTL","70.0","0","0","false","0","ARNTL","0"
"0.0","0.0","0.0","0.0","0","1","1","false","CLOCK","70.0","0","0","false","0","CLOCK","0"
"2.8569277108433737","60.095476603257815","0.3500263574064312","0.0016554809843400448","4","179","111","false","EGR1","2.6266666666666665","68","22","false","1","EGR1","201070569"
"3.4186746987951806","0.3338339848088827","0.29251101321585904","0.0","4","3","2","false","HDAC7","136.0","1","1","false","0","HDAC7","2511227"
"3.783132530120482","0.332240059675203","0.2643312101910828","0.0","5","3","2","false","IRF1","115.0","1","1","false","0","IRF1","3596810"
"0.0","0.0","0.0","0.0","0","1","1","false","PHC3","150.0","0","0","false","0","PHC3","0"
"3.355421686746988","1.7708519885047906","0.29802513464991026","0.3333333333333333","5","7","4","false","PPARG","105.5","3","3","false","0","PPARG","11280548"
"3.783132530120482","0.332240059675203","0.2643312101910828","0.0","5","3","2","false","SNAI2","115.0","1","1","false","0","SNAI2","3596810"
