"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.0","0","1","1","false","VTN","70.0","0","0","false","0","VTN","0"
"0.0","0.0","0.0","0.0","0","1","1","false","LRP1","70.0","0","0","false","0","LRP1","0"
"4.292307692307692","6.568348031973059E-4","0.23297491039426524","0.0","5","2","1","false","SMAD2","40.5","1","0","false","0","SMAD2","6126"
"0.0","0.0","0.0","0.0","0","1","1","false","PLAT","70.0","0","0","false","0","PLAT","0"
"3.372027972027972","0.01611270162730954","0.2965574450435504","0.3333333333333333","5","3","1","false","PLAUR","115.0","2","0","false","0","PLAUR","273911"
"3.372027972027972","0.01611270162730954","0.2965574450435504","0.3333333333333333","5","3","1","false","PLAU","115.0","2","0","false","0","PLAU","273911"
"3.379020979020979","0.46000816271737377","0.2959437086092715","0.32142857142857145","5","10","4","false","SMAD3","62.875","6","2","false","0","SMAD3","4171106"
"0.0","0.0","0.0","0.0","0","1","1","false","F5","70.0","0","0","false","0","F5","0"
"0.0","0.0","0.0","0.0","0","1","1","false","HRG","70.0","0","0","false","0","HRG","0"
"0.0","0.0","0.0","0.0","0","1","1","false","FGG","70.0","0","0","false","0","FGG","0"
"0.0","0.0","0.0","0.0","0","1","1","false","FGA","70.0","0","0","false","0","FGA","0"
"0.0","0.0","0.0","0.0","0","1","1","false","FGB","70.0","0","0","false","0","FGB","0"
"0.0","0.0","0.0","0.0","0","1","1","false","F8","70.0","0","0","false","0","F8","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ACTN4","70.0","0","0","false","0","ACTN4","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ORM1","70.0","0","0","false","0","ORM1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","F13A1","70.0","0","0","false","0","F13A1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","PROS1","70.0","0","0","false","0","PROS1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","SRGN","70.0","0","0","false","0","SRGN","0"
"0.0","0.0","0.0","0.0","0","1","1","false","SERPINF2","70.0","0","0","false","0","SERPINF2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","CFD","70.0","0","0","false","0","CFD","0"
"0.0","0.0","0.0","0.0","0","1","1","false","AHSG","70.0","0","0","false","0","AHSG","0"
"0.0","0.0","0.0","0.0","0","1","1","false","KNG1","70.0","0","0","false","0","KNG1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","PPBP","75.0","0","0","false","0","PPBP","0"
"3.707692307692308","0.008256175803799417","0.2697095435684647","0.0","5","2","1","false","IGF2","110.0","1","0","false","0","IGF2","159745"
"3.707692307692308","0.008256175803799417","0.2697095435684647","0.0","5","2","1","false","PDGFB","110.0","1","0","false","0","PDGFB","159745"
"0.0","0.0","0.0","0.0","0","1","1","false","TGFB3","70.0","0","0","false","0","TGFB3","0"
"0.0","0.0","0.0","0.0","0","1","1","false","VEGFC","70.0","0","0","false","0","VEGFC","0"
"0.0","0.0","0.0","0.0","0","1","1","false","PF4","70.0","0","0","false","0","PF4","0"
"0.0","0.0","0.0","0.0","0","1","1","false","TGFB2","70.0","0","0","false","0","TGFB2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","VWF","70.0","0","0","false","0","VWF","0"
"0.0","0.0","0.0","0.0","0","1","1","false","SPARC","70.0","0","0","false","0","SPARC","0"
"0.0","0.0","0.0","0.0","0","2","2","false","A2M","75.0","0","0","false","0","A2M","0"
"0.0","0.0","0.0","0.3333333333333333","0","3","3","false","IGF1","82.33333333333333","0","0","false","0","IGF1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ALB","70.0","0","0","false","0","ALB","0"
"0.0","0.0","0.0","0.0","0","1","1","false","HGF","70.0","0","0","false","0","HGF","0"
"0.0","0.0","0.0","0.0","0","2","2","false","PLG","75.0","0","0","false","0","PLG","0"
"3.707692307692308","0.008256175803799417","0.2697095435684647","0.0","5","2","1","false","FN1","110.0","1","0","false","0","FN1","159745"
"3.109090909090909","0.1765470771859214","0.32163742690058483","0.2","4","6","3","false","VEGFA","97.5","3","0","false","0","VEGFA","2110772"
"4.197202797202797","0.0101933492025309","0.23825391536154616","0.0","6","3","2","false","EGF","56.666666666666664","1","0","false","0","EGF","60918"
"0.0","0.0","0.0","0.0","0","2","2","false","THBS1","75.0","0","0","false","0","THBS1","0"
"0.0","0.0","0.0","0.0","0","2","2","false","TGFB1","97.5","0","0","false","0","TGFB1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ITGB3","70.0","0","0","false","0","ITGB3","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ITGAV","70.0","0","0","false","0","ITGAV","0"
"3.762237762237762","0.0","0.26579925650557623","0.0","5","2","1","false","ARNTL2","70.0","1","1","false","0","ARNTL2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","VLDLR","70.0","0","0","false","0","VLDLR","0"
"0.0","0.0","0.0","0.0","0","1","1","false","ARNTL","70.0","0","0","false","0","ARNTL","0"
"0.0","0.0","0.0","0.0","0","2","2","false","CLOCK","36.5","0","0","false","0","CLOCK","0"
"2.7118881118881117","21.255131621733927","0.36874677668901495","0.005011185682326622","4","176","106","false","EGR1","5.913333333333333","70","24","false","1","EGR1","119805357"
"3.239160839160839","0.8038881909361576","0.30872193436960277","0.1388888888888889","5","10","6","false","HDAC7","45.888888888888886","4","1","false","0","HDAC7","4760410"
"3.1734265734265734","0.5081417135830251","0.3151167915381225","0.28205128205128205","5","15","10","false","IRF1","39.92307692307692","5","2","false","0","IRF1","4342062"
"0.0","0.0","0.0","0.0","0","1","1","false","PHC3","150.0","0","0","false","0","PHC3","0"
"3.0839160839160837","0.5358816572071858","0.3242630385487529","0.2","5","13","4","false","PPARG","60.7","9","3","false","0","PPARG","5920727"
"3.6755244755244756","0.058335723486663535","0.2720700152207001","0.0","5","3","2","false","SNAI2","115.0","1","1","false","0","SNAI2","1132280"
"0.0","0.0","0.0","0.06060606060606061","0","14","13","false","SNAI1","27.416666666666668","1","0","false","1","SNAI1","0"
"4.0755244755244755","0.003199636710835579","0.2453671928620453","0.0","5","2","1","false","SUZ12","83.5","1","0","false","0","SUZ12","37314"
"3.627972027972028","0.0","0.2756360832690825","0.6666666666666666","5","3","1","false","REST","75.66666666666667","2","0","false","0","REST","0"
"1.0","0.0","1.0","0.5","1","2","1","false","MTA3","81.0","1","0","false","0","MTA3","0"
"0.0","0.0","0.0","0.0","0","1","1","false","EED","150.0","0","0","false","0","EED","0"
